game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Win,128x10_20260605_lr1e-9-210,1-0,128x10_20260605_lr1e-9-210,maia-1100,d2d4 d7d5 g1f3 b8c6 c2c4 d5c4 d4d5 c6b4 b1c3 c8f5 e2e4 f5g6 a2a3 b4a6 f1c4 a6c5 e1g1 c5e4 c4b5 c7c6 d5c6 d8d1 c6b7 e8d8 b7a8q d8c7 c3d5 c7d6 a8c6
2,Loss,maia-1100,1-0,maia-1100,128x10_20260605_lr1e-9-210,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 d4c6 d7c6 d1d8 e8d8 b1c3 g7g6 c1g5 h7h6 g5f6 e7f6 e1c1 d8c7 f1c4 h6h5 c4f7 g6g5 f2f3 h5h4 h2h3 h8h7 f7g6 h7g7 g6f5 a7a5 f5c8 c7c8 c3a4 c8c7 h1e1 b7b5 a4c3 f8d6 c3e2 a8e8 e2d4 g7d7 d4f5 e8d8 f5d6 d7d6 d1d6 d8d6 e1d1 a5a4 d1d6 a4a3 d6f6 c6c5 b2a3 g5g4 f3g4 c5c4 g4g5 c7c8 g5g6 c4c3 g6g7 b5b4 a3b4 c8c7 g7g8q c7d7 g8g7 d7d8 f6f8
3,Win,128x10_20260605_lr1e-9-210,1-0,128x10_20260605_lr1e-9-210,maia-1100,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 a2a3 f8c5 f3e5 c6e5 d2d4 c5d4 d1d4 d7d6 f2f3 e8g8 f1e2 c7c5 d4f2 c8e6 e1g1 a7a6 f3f4 e5g4 f2f3 d6d5 e4e5 d5d4 h2h3 d4c3 h3g4 f6g4 f3g3 d8d4 g1h1 c3b2 c1b2 d4b2 f4f5 b2e5 g3g4 e6d5 a1e1 e5f6 e1d1 d5c6 h1g1 a8d8 g4g3 d8d1 e2d1 f6d4 g1h2 c6b5 f1e1 d4f6 c2c3 f6f5 a3a4 b5c6 a4a5 c5c4 e1e5 f5f6 d1e2 f8e8 e5e8 c6e8 h2g1 f6e6 g1f2 e6f6 f2e1 h7h6 e2c4 f6e7 e1d2 e7d7 d2c2 d7a4 c4b3 a4a5 g3d6 a5g5 g2g3 g5g6 d6g6 g8f8 g6d6 f8g8 d6d8 g8f8 d8d6 f8g8 d6d8 g8f8 b3a4 b7b5 a4b3 a6a5 d8d6 f8g8 d6d8 g8f8 d8d6 f8g8 d6d8 g8f8 d8d6 f8g8 d6d8 g8f8 g3g4 a5a4 b3d5 a4a3 d8d6 f8g8 d6d8 g8f8 d5c6 g7g6 d8e8 f8g7 c6d5 h6h5 g4g5 b5b4 c3b4 f7f6 e8g8
4,Loss,maia-1100,1-0,maia-1100,128x10_20260605_lr1e-9-210,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 d4c6 d7c6 d1d8 e8d8 b1c3 e7e5 c1g5 h7h6 g5f6 g7f6 e1c1 d8c7 f1c4 h8h7 f2f3 h6h5 h2h4 f6f5 e4f5 c8f5 c4d3 f5d3 d1d3 f7f5 h1d1 h7g7 d3d2 a8e8 c3a4 e5e4 f3e4 f5e4 d2e2 g7g4 a4c3 e4e3 d1e1 g4h4 e2e3 e8e3 e1e3 h4h1 c3d1 h5h4 e3h3 h1h3 g2h3 c7d6 d1e3 b7b5 e3f5 d6d5 f5h4 c6c5 h4g6 f8h6 c1d1 b5b4 d1e2 c5c4 h3h4 a7a5 h4h5 a5a4 g6e7 d5c5 e7f5 b4b3 c2b3 c4b3 a2b3 a4b3 f5h6 c5c4 e2d2 c4c5 d2c3 c5c6 c3b3 c6c7 b3c4 c7c6 b2b4 c6c7 b4b5 c7c8 c4c5 c8c7 b5b6 c7c8 c5c6 c8d8 b6b7 d8e8 b7b8q e8e7 b8d6 e7e8 d6d7 e8f8 d7f7
5,Win,128x10_20260605_lr1e-9-210,1-0,128x10_20260605_lr1e-9-210,maia-1100,d2d4 d7d5 g1f3 b8c6 c2c4 d5c4 d4d5 c6b4 b1c3 c8f5 e2e4 f5g6 a2a3 b4a6 f1c4 a6c5 e1g1 c5e4 c4b5 c7c6 d5c6 d8d1 c6b7 e8d8 b7a8q d8c7 c3d5 c7d6 a8c6
6,Loss,maia-1100,1-0,maia-1100,128x10_20260605_lr1e-9-210,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 d4c6 d7c6 d1d8 e8d8 b1c3 g7g6 c1g5 h7h6 g5f6 e7f6 e1c1 d8c7 f1c4 h6h5 c4f7 g6g5 f2f3 h5h4 h2h3 h8h7 f7g6 h7g7 g6f5 a7a5 f5c8 c7c8 c3a4 c8c7 h1e1 b7b5 a4c3 f8d6 c3e2 a8e8 e2d4 g7d7 d4f5 e8d8 f5d6 d7d6 d1d6 d8d6 e1d1 a5a4 d1d6 a4a3 d6f6 c6c5 b2a3 g5g4 f3g4 c5c4 g4g5 c7c8 g5g6 c4c3 g6g7 b5b4 a3b4 c8c7 g7g8q c7d7 g8g7 d7d8 f6f8
7,Win,128x10_20260605_lr1e-9-210,1-0,128x10_20260605_lr1e-9-210,maia-1100,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 a2a3 f8c5 f3e5 c6e5 d2d4 c5d4 d1d4 d7d6 f2f3 e8g8 f1e2 c7c5 d4f2 c8e6 e1g1 a7a6 f3f4 e5g4 f2f3 d6d5 e4e5 d5d4 h2h3 d4c3 h3g4 f6g4 f3g3 d8d4 g1h1 c3b2 c1b2 d4b2 f4f5 b2e5 g3g4 e6d5 a1e1 e5f6 e1d1 d5c6 h1g1 a8d8 g4g3 d8d1 e2d1 f6d4 g1h2 c6b5 f1e1 d4f6 c2c3 f6f5 a3a4 b5c6 a4a5 c5c4 e1e5 f5f6 d1e2 f8e8 e5e8 c6e8 h2g1 f6e6 g1f2 e6f6 f2e1 h7h6 e2c4 f6e7 e1d2 e7d7 d2c2 d7a4 c4b3 a4a5 g3d6 a5g5 g2g3 g5g6 d6g6 g8f8 g6d6 f8g8 d6d8 g8f8 d8d6 f8g8 d6d8 g8f8 b3a4 b7b5 a4b3 a6a5 d8d6 f8g8 d6d8 g8f8 d8d6 f8g8 d6d8 g8f8 d8d6 f8g8 d6d8 g8f8 g3g4 a5a4 b3d5 a4a3 d8d6 f8g8 d6d8 g8f8 d5c6 g7g6 d8e8 f8g7 c6d5 h6h5 g4g5 b5b4 c3b4 f7f6 e8g8
8,Loss,maia-1100,1-0,maia-1100,128x10_20260605_lr1e-9-210,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 d4c6 d7c6 d1d8 e8d8 b1c3 e7e5 c1g5 h7h6 g5f6 g7f6 e1c1 d8c7 f1c4 h8h7 f2f3 h6h5 h2h4 f6f5 e4f5 c8f5 c4d3 f5d3 d1d3 f7f5 h1d1 h7g7 d3d2 a8e8 c3a4 e5e4 f3e4 f5e4 d2e2 g7g4 a4c3 e4e3 d1e1 g4h4 e2e3 e8e3 e1e3 h4h1 c3d1 h5h4 e3h3 h1h3 g2h3 c7d6 d1e3 b7b5 e3f5 d6d5 f5h4 c6c5 h4g6 f8h6 c1d1 b5b4 d1e2 c5c4 h3h4 a7a5 h4h5 a5a4 g6e7 d5c5 e7f5 b4b3 c2b3 c4b3 a2b3 a4b3 f5h6 c5c4 e2d2 c4c5 d2c3 c5c6 c3b3 c6c7 b3c4 c7c6 b2b4 c6c7 b4b5 c7c8 c4c5 c8c7 b5b6 c7c8 c5c6 c8d8 b6b7 d8e8 b7b8q e8e7 b8d6 e7e8 d6d7 e8f8 d7f7
9,Loss,maia-1100,0-1,128x10_20260605_lr1e-9-210,maia-1100,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 h2h3 f8c5 f3e5 c6e5 d2d4 c5d4 d1d4 e5c6 d4e3 e8g8 f1e2 f8e8 e1g1 d7d5 c3d5 f6d5 e4d5 e8e3 c1e3 d8d5 f1e1 c8f5 a1d1 d5a2 b2b3 f5c2 d1c1 c2b3 c1c6 b7c6 h3h4 a8d8 f2f3 a7a5 h4h5 a5a4 g2g3 a4a3 g3g4 a2b2 h5h6 a3a2 g4g5 a2a1q g5g6 a1e1 g1g2 e1e2 g2g3 e2e3 g3g4 d8d4 f3f4 e3f4 g4h3 f4h4
10,Loss,maia-1100,1-0,maia-1100,128x10_20260605_lr1e-9-210,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 d4c6 d7c6 d1d8 e8d8 b1c3 e7e5 c1g5 h7h6 g5f6 g7f6 e1c1 d8c7 f1c4 h6h5 c4f7 h5h4 h2h3 a7a5 g2g4 h4g3 f2g3 h8h7 f7g6 h7g7 g6f5 g7g3 f5c8 a8c8 h3h4 g3g4 h4h5 c8d8 h5h6 d8d1 c3d1 f8h6 c1b1 h6g5 d1f2 g4g2 f2d3 b7b6 b2b3 c6c5 b1b2 c7c6 a2a4 c5c4 b3c4 g2g3 b2c3 g3g4 d3f2 g4g3 c3b2 c6c5 f2d3 c5c4 h1h8 c4d4 h8d8 d4e4 d3f2 e4e3 f2d1 e3e2 d1c3 e2e1 c3e4 g3g4 e4g5 g4g5 d8d6 f6f5 d6b6 e5e4 b6b5 e4e3 b5a5 e3e2 a5e5 e1d2 a4a5 f5f4 e5g5 e2e1q g5d5 d2e2 d5e5 e2f2 e5e1 f4f3 e1a1 f2e2 a5a6 f3f2 a6a7 f2f1q a1f1 e2e3 a7a8q e3e2 f1f8 e2e3 a8e8 e3d4 e8d8 d4e4 f8e8 e4f4 d8f6 f4g4 e8g8 g4h3 f6h6
