game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Loss,128x10_20260531_lr1e-9,0-1,128x10_20260531_lr1e-9-100,128x10_20260531_lr1e-9,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 a7a6 c4d5 e6d5 a2a3 h7h6 g2g3 c7c6 d1c2 g7g6 h2h3 b8d7 e2e4 f6e4 c3e4 d5e4 c2e4 d8e7 e4e7 f8e7 h3h4 d7b6 f3e5 h6h5 f1g2 a6a5 e1g1 e8g8 f1e1 f8e8 e5c6 b7c6 g2c6 c8d7 c6a8 b6a8 d4d5 a8b6 d5d6 e7d6 e1e8 d7e8 a3a4 f7f6 b2b3 g8f7 c1a3 b6c8 a1a2 e8d7 a2a1 d6a3 a1a3 c8e7 a3a1 e7c6 a1b1 f7e7 f2f3 e7d6 g1f2 d6c5 b1c1 c5b4 g3g4 b4b3 g4g5 f6g5 h4g5 c6b4 c1c7 d7c6 f3f4 c6e4 c7c5 b4d3 f2e3 d3c5 e3d4 b3b4 f4f5 e4f5 d4d5 c5a4 d5d4 b4b3 d4d5 a4c3 d5d4 c3a4 d4d5 a4b6 d5d6 b6c4 d6d5 a5a4 d5c6 a4a3 c6c5 a3a2 c5c6 a2a1q c6c7 a1a7 c7c6 f5e4 c6b5 a7a5
2,Win,128x10_20260531_lr1e-9-100,0-1,128x10_20260531_lr1e-9,128x10_20260531_lr1e-9-100,g1f3 g8f6 d2d4 d7d5 c2c4 e7e6 b1c3 a7a6 c4d5 e6d5 h2h3 h7h6 e2e3 b8d7 f1d3 c7c6 e1g1 f8d6 e3e4 d5e4 c3e4 f6e4 d3e4 e8g8 f1e1 d7f6 e4c2 f8e8 f3e5 c8e6 d1d3 c6c5 d4c5 d6c5 d3d8 a8d8 g1f1 e6d5 c1f4 f6h5 f4h2 h5f6 a1d1 c5b4 e1e3 d8c8 a2a3 b4a5 e3e2 a5c7 f1g1 b7b5 d1e1 c7a5 e1d1 a5c7 h2g3 f6h5 d1d5 h5g3 f2g3 e8e5 d5e5 c7e5 g3g4 g7g6 g1f1 e5b2 a3a4 b5b4 c2b3 c8c1 f1f2 b2d4 f2f3 a6a5 g2g3 g8g7 h3h4 g6g5 h4h5 g7f6 f3e4 c1c3 e4d4 c3b3 e2f2 f6e6 d4c5 f7f6 c5b6 b3g3 b6a5 b4b3 f2e2 e6d5 e2f2 g3g4 f2f6 b3b2 f6b6 g4f4 b6b2 g5g4 a5b5 g4g3 a4a5 f4f2 b2b4 g3g2 b4g4 f2b2 b5a6 b2a2 a6b6 a2b2 b6c7 b2c2 c7b6 c2b2 b6c7 b2c2 c7b7 c2b2 b7c7 d5e5 a5a6 e5f5 a6a7 b2a2 c7b7 f5g4 a7a8q a2a8 b7a8 g2g1q a8b8 g4g3 b8b7 g3g4 b7b8 g4g5 b8b7 g5f4 b7b8 f4e5 b8b7 e5e6 b7b8 e6e5 b8b7 e5e6 b7b8 e6d6 b8b7 d6d5 b7b8 d5d6 b8b7 d6d5 b7b8 d5c6 b8a8 c6b6 a8b8 g1g8
3,Loss,128x10_20260531_lr1e-9,0-1,128x10_20260531_lr1e-9-100,128x10_20260531_lr1e-9,g1f3 g8f6 c2c4 g7g6 d2d4 d7d6 b1c3 f8g7 e2e4 e8g8 h2h3 e7e5 d4d5 c7c6 f1e2 b8d7 e1g1 d7c5 d5c6 f6e4 c3e4 c5e4 c6b7 c8b7 f3d2 e4c5 d2b3 c5e6 f1e1 a7a5 a2a4 d6d5 c4d5 b7d5 c1e3 f7f5 b3c5 e6d4 e3d4 e5d4 e2f3 g8h8 c5e6 d5e6 e1e6 a8b8 a1b1 d4d3 b2b3 d3d2 e6e2 g7c3 d1c2 b8c8 b1d1 f8e8 e2e8 d8e8 g2g3 e8e5 d1d2 f5f4 d2e2 e5d6 g3g4 h8g7 g4g5 h7h6 h3h4 h6g5 h4h5 g5g4 f3g4 f4f3 g4f3 c8c5 g1f1 c3b4 c2b2 d6f6 h5g6 c5c3 f3e4 b4c5 b2d2 c3b3 d2d7 f6e7 d7d5 b3b4 e4d3 e7d6 d5d6 c5d6 e2e6 d6c5 e6e5 c5b6 e5e7 g7g8 g6g7 b4a4 e7b7 a4b4 f2f3 a5a4 f1e2 a4a3 e2d2 a3a2 b7b8 g8g7 b8b7 g7f6 b7b6 b4b6 f3f4 a2a1q f4f5 b6b7 d2e2 b7b8 e2e3 f6e5 f5f6 b8a8 f6f7 e5e6 f7f8q a8f8 e3e2 e6e5 e2d2 e5d4 d2e2 a1a2 e2d1 d4d3 d1e1 a2a1
4,Win,128x10_20260531_lr1e-9-100,0-1,128x10_20260531_lr1e-9,128x10_20260531_lr1e-9-100,g1f3 d7d5 d2d4 g8f6 c2c4 d5c4 e2e3 a7a6 f1c4 e7e6 e1g1 b7b5 c4d3 c8b7 a2a4 b5b4 b1d2 c7c5 a4a5 b8d7 e3e4 f8e7 e4e5 f6d5 d2c4 e8g8 f1e1 c5d4 f3d4 d7c5 c4d6 e7d6 e5d6 d8d6 d3c2 a8d8 d1e2 d5f4 e2e3 f4g2 d4f5 e6f5 e3e2 g2e1 e2e1 d6g6 g1f1 g6g2 f1e2 f8e8 c1e3 f5f4 h2h3 e8e3
5,Loss,128x10_20260531_lr1e-9,0-1,128x10_20260531_lr1e-9-100,128x10_20260531_lr1e-9,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 a7a6 c4d5 e6d5 a2a3 h7h6 g2g3 c7c6 d1c2 g7g6 h2h3 b8d7 e2e4 f6e4 c3e4 d5e4 c2e4 d8e7 e4e7 f8e7 h3h4 d7b6 f3e5 h6h5 f1g2 a6a5 e1g1 e8g8 f1e1 f8e8 e5c6 b7c6 g2c6 c8d7 c6a8 b6a8 d4d5 a8b6 d5d6 e7d6 e1e8 d7e8 a3a4 f7f6 b2b3 g8f7 c1a3 b6c8 a1a2 e8d7 a2a1 d6a3 a1a3 c8e7 a3a1 e7c6 a1b1 f7e7 f2f3 e7d6 g1f2 d6c5 b1c1 c5b4 g3g4 b4b3 g4g5 f6g5 h4g5 c6b4 c1c7 d7c6 f3f4 c6e4 c7c5 b4d3 f2e3 d3c5 e3d4 b3b4 f4f5 e4f5 d4d5 c5a4 d5d4 b4b3 d4d5 a4c3 d5d4 c3a4 d4d5 a4b6 d5d6 b6c4 d6d5 a5a4 d5c6 a4a3 c6c5 a3a2 c5c6 a2a1q c6c7 a1a7 c7c6 f5e4 c6b5 a7a5
6,Win,128x10_20260531_lr1e-9-100,0-1,128x10_20260531_lr1e-9,128x10_20260531_lr1e-9-100,g1f3 g8f6 d2d4 d7d5 c2c4 e7e6 b1c3 a7a6 c4d5 e6d5 h2h3 h7h6 e2e3 b8d7 f1d3 c7c6 e1g1 f8d6 e3e4 d5e4 c3e4 f6e4 d3e4 e8g8 f1e1 d7f6 e4c2 f8e8 f3e5 c8e6 d1d3 c6c5 d4c5 d6c5 d3d8 a8d8 g1f1 e6d5 c1f4 f6h5 f4h2 h5f6 a1d1 c5b4 e1e3 d8c8 a2a3 b4a5 e3e2 a5c7 f1g1 b7b5 d1e1 c7a5 e1d1 a5c7 h2g3 f6h5 d1d5 h5g3 f2g3 e8e5 d5e5 c7e5 g3g4 g7g6 g1f1 e5b2 a3a4 b5b4 c2b3 c8c1 f1f2 b2d4 f2f3 a6a5 g2g3 g8g7 h3h4 g6g5 h4h5 g7f6 f3e4 c1c3 e4d4 c3b3 e2f2 f6e6 d4c5 f7f6 c5b6 b3g3 b6a5 b4b3 f2e2 e6d5 e2f2 g3g4 f2f6 b3b2 f6b6 g4f4 b6b2 g5g4 a5b5 g4g3 a4a5 f4f2 b2b4 g3g2 b4g4 f2b2 b5a6 b2a2 a6b6 a2b2 b6c7 b2c2 c7b6 c2b2 b6c7 b2c2 c7b7 c2b2 b7c7 d5e5 a5a6 e5f5 a6a7 b2a2 c7b7 f5g4 a7a8q a2a8 b7a8 g2g1q a8b8 g4g3 b8b7 g3g4 b7b8 g4g5 b8b7 g5f4 b7b8 f4e5 b8b7 e5e6 b7b8 e6e5 b8b7 e5e6 b7b8 e6d6 b8b7 d6d5 b7b8 d5d6 b8b7 d6d5 b7b8 d5c6 b8a8 c6b6 a8b8 g1g8
7,Draw,Draw,1/2-1/2,128x10_20260531_lr1e-9-100,128x10_20260531_lr1e-9,g1f3 g8f6 c2c4 g7g6 d2d4 d7d6 b1c3 f8g7 e2e4 e8g8 h2h3 e7e5 d4d5 c7c6 f1e2 b8d7 e1g1 d7c5 d5c6 f6e4 c3e4 c5e4 c6b7 c8b7 f3d2 e4c5 d2b3 c5e6 f1e1 a7a5 a2a4 d6d5 c4d5 b7d5 c1e3 f7f5 b3c5 e6d4 e3d4 e5d4 e2f3 g8h8 c5e6 d5e6 e1e6 a8b8 a1b1 d4d3 b2b3 d3d2 e6e2 g7c3 d1c2 b8c8 b1d1 f8e8 e2e8 d8e8 g2g3 c3b4 c2b2 h8g8 d1d2 b4d2 b2d2 e8d8 d2d8 c8d8 g3g4 g8g7 g4f5 g6f5 g1g2 g7f6 g2g3 f6g5 g3g2 d8d2 g2g3 d2d3 g3g2 h7h6 g2g3 f5f4 g3g2 d3c3 f3d5 h6h5 f2f3 c3c2 g2f1 c2d2 h3h4 g5h4 b3b4 d2d5 b4a5 h4g3 a5a6 g3f3 f1e1 h5h4 a6a7 d5d8 a7a8q d8a8 e1d2 h4h3 d2c3 a8a4 c3c2 h3h2 c2c3 h2h1q c3c2 a4a5 c2c3 a5a6 c3c2 a6a5 c2c3 a5a6 c3c4 a6a5 c4c3 a5a6 c3c4 a6a5 c4c3 a5a6 c3c4 a6a7 c4c5 a7a6 c5c4 a6a7 c4c3 a7a6
8,Win,128x10_20260531_lr1e-9-100,0-1,128x10_20260531_lr1e-9,128x10_20260531_lr1e-9-100,g1f3 d7d5 d2d4 g8f6 c2c4 d5c4 e2e3 a7a6 f1c4 e7e6 e1g1 b7b5 c4d3 c8b7 a2a4 b5b4 b1d2 c7c5 a4a5 b8d7 e3e4 f8e7 e4e5 f6d5 d2c4 e8g8 f1e1 c5d4 f3d4 d7c5 c4d6 e7d6 e5d6 d8d6 d3c2 a8d8 d1e2 d5f4 e2e3 f4g2 d4f5 e6f5 e3e2 g2e1 e2e1 d6g6 g1f1 g6g2 f1e2 f8e8 c1e3 f5f4 h2h3 e8e3
9,Win,128x10_20260531_lr1e-9-100,1-0,128x10_20260531_lr1e-9-100,128x10_20260531_lr1e-9,g1f3 g8f6 d2d4 d7d5 c2c4 e7e6 b1c3 a7a6 c4c5 b7b6 b2b4 a6a5 a2a3 c7c6 a1b1 f6e4 c3e4 d5e4 f3e5 f7f6 e5c4 b6b5 c4b6 a8a7 g2g3 f6f5 b4a5 e6e5 e2e3 e5d4 e3d4 f8e7 a3a4 e8g8 b6c8 d8c8 a4b5 c6b5 f1b5 b8c6 e1g1 c6d4 d1d4 e7c5 d4d5 g8h8 a5a6 f5f4 g1h1 e4e3 f2e3 f4e3 c1b2 f8f1 b1f1 e3e2 b5e2 a7a6 e2a6 c8a6 d5d8 c5f8 f1f8
10,Win,128x10_20260531_lr1e-9-100,0-1,128x10_20260531_lr1e-9,128x10_20260531_lr1e-9-100,g1f3 g8f6 d2d4 d7d5 c2c4 d5c4 e2e3 a7a6 f1c4 e7e6 e1g1 b7b5 c4d3 c8b7 a2a4 b5b4 b1d2 c7c5 a4a5 b8d7 e3e4 f8e7 e4e5 f6d5 d2c4 e8g8 f1e1 c5d4 f3d4 d7c5 d3c2 b4b3 d4b3 c5b3 c2b3 a8b8 c4d6 e7d6 e5d6 d8d6 h2h3 f8d8 a1a4 h7h6 a4g4 d5f6 g4d4 d6d4 d1d4 d8d4 f2f3 b8c8 g1f1 d4d7 f1g1 c8b8 h3h4 d7d8 b3a4 b8c8 g1h1 d8d4 b2b3 d4d8 h1g1 h6h5 g1f1 b7c6 a4c6 c8c6 b3b4 f6d5 b4b5 a6b5 e1d1 d8c8 c1b2 b5b4 a5a6 b4b3 f1e1 d5e3 d1d3 e3c4 a6a7 c4b2 a7a8r b2d3 e1e2 b3b2 g2g3 b2b1q a8c8 c6c8 e2e3 g7g6 f3f4 f7f6 f4f5 d3c1 g3g4 h5g4 h4h5 g6g5 f5e6 g4g3 e3f3 g3g2 e6e7 g2g1r e7e8n b1f5 f3e3 f5f4
