game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Loss,maia-1400,0-1,128x10_20260531_lr1e-9-40,maia-1400,d2d4 e7e6 e2e4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 d8f6 g1f3 b8c6 c2c3 f8d6 g2g3 e8g8 f3g5 e6e5 d4d5 c6e7 g5e4 f6g6 e4d6 c7d6 c3c4 g6e4 d1e2 e4h1 b2b3 h1h2 c1b2 e7g6 e1c1 h2h6 c1b1 c8f5 b1a1 a8e8 b2c1 h6h1 c4c5 d6c5 d5d6 e8d8 g3g4 f5e4 d6d7 e4f3 e2d3 f3d1 d3d1 g6f4 d1e1 d8d7 f2f3 f8d8 g4g5 d7d1 e1d1 d8d1 a2a3 h1f1 a1a2 d1c1 a3a4 c1a1 a2b2 f1b1 b2c3 b1c1
2,Draw,Draw,1/2-1/2,maia-1400,128x10_20260531_lr1e-9-40,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 d7d6 f1c4 e7e6 e1g1 f8e7 d4c6 b7c6 f2f4 d6d5 e4d5 e6d5 c4b3 e8g8 e3d4 c6c5 d4f6 e7f6 d1d5 c8b7 d5b7 c5c4 b3c4 d8d4 g1h1 d4c4 c3e4 a8b8 e4f6 g7f6 b7f3 b8b2 f3g4 g8h8 g4f5 b2c2 f5f6 h8g8 f6g5 g8h8 g5f6 h8g8 f6g5 g8h8 g5f6 h8g8 f6g5 g8h8 g5f6 h8g8 f6g5 g8h8 g5f6
3,Loss,maia-1400,0-1,128x10_20260531_lr1e-9-40,maia-1400,d2d4 e7e6 e2e4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 d8f6 g1f3 b8c6 c2c3 e6e5 d4d5 c6e7 f1b5 c7c6 d5c6 e7c6 e1g1 f8d6 f3g5 e8g8 g5e4 f6g6 e4d6 c8h3 b5c6 b7c6 f2f3 g6g2
4,Loss,maia-1400,1-0,maia-1400,128x10_20260531_lr1e-9-40,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 c6d4 d1d4 d7d6 c1g5 h7h6 g5f6 g7f6 e1c1 a7a6 c3d5 h6h5 d5b6 a8b8 b6c8 d8c8 f1c4 e7e6 d4f6 h8g8 c4b3 b7b5 g2g3 a6a5 a2a3 a5a4 b3a2 b5b4 a3b4 b8b4 d1d4 a4a3 d4b4 d6d5 e4d5 f8b4 d5e6 f7e6 a2e6 g8f8 f6g6 e8d8 e6c8 a3a2 g6a6 a2a1q a6a1 d8c8 a1a8 c8c7 a8f8 b4f8 h1e1 h5h4 g3h4 c7c6 h4h5 c6c7 f2f4 c7c6 f4f5 c6c7 f5f6 c7c6 f6f7 c6c7 e1e8 c7c6 e8f8 c6c7 h5h6 c7c6 h6h7 c6c7 h7h8q c7c6 f8c8 c6d6 f7f8q d6d7 f8d8 d7e6 h8e8 e6f5 h2h4 f5f4 h4h5 f4f3 h5h6 f3f2 h6h7 f2f3 h7h8q f3f2 h8f8 f2g2 b2b4 g2g3 b4b5 g3g2 b5b6 g2g3 b6b7 g3g2 b7b8q g2g1 c2c4 g1h1 c4c5 h1g1 c5c6 g1h1 c6c7 h1h2 d8e7 h2h3 c8d8 h3h2 c7c8q h2h1 e7d7 h1g1 b8c7 g1h1 c8b7 h1g1 d7g7
5,Loss,maia-1400,0-1,128x10_20260531_lr1e-9-40,maia-1400,d2d4 e7e6 e2e4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 d8f6 g1f3 b8c6 c2c3 f8d6 g2g3 e8g8 f3g5 e6e5 d4d5 c6e7 g5e4 f6g6 e4d6 c7d6 c3c4 g6e4 d1e2 e4h1 b2b3 h1h2 c1b2 e7g6 e1c1 h2h6 c1b1 c8f5 b1a1 a8e8 b2c1 h6h1 c4c5 d6c5 d5d6 e8d8 g3g4 f5e4 d6d7 e4f3 e2d3 f3d1 d3d1 g6f4 d1e1 d8d7 f2f3 f8d8 g4g5 d7d1 e1d1 d8d1 a2a3 h1f1 a1a2 d1c1 a3a4 c1a1 a2b2 f1b1 b2c3 b1c1
6,Loss,maia-1400,1-0,maia-1400,128x10_20260531_lr1e-9-40,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 d7d6 f1c4 e7e6 e1g1 f8e7 f2f4 c6d4 e3d4 b7b5 c4b3 e8g8 e4e5 f6e8 e5d6 e8d6 d1g4 d6f5 d4e5 a8a7 a1d1 a7d7 d1d7 d8d7 f1d1 d7c6 c3e2 a6a5 c2c3 a5a4 b3c2 b5b4 c2f5 f7f6 e2d4 c6b6 f5e6 g8h8 e6c8 f6e5 f4e5 a4a3 b2b3 b4c3 g1h1 c3c2 d4c2 b6b5 h2h3 b5e5 d1e1 e5d6 c8f5 g7g6 g4d4 d6d4 c2d4 g6f5 e1e7 h8g8 d4e6 f8f7 e7e8 f7f8 e8f8
7,Loss,maia-1400,0-1,128x10_20260531_lr1e-9-40,maia-1400,d2d4 e7e6 e2e4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 d8f6 g1f3 b8c6 c2c3 e6e5 d4d5 c6e7 f1b5 c7c6 d5c6 e7c6 e1g1 f8d6 f3g5 e8g8 g5e4 f6g6 e4d6 c8h3 b5c6 b7c6 f2f3 g6g2
8,Loss,maia-1400,1-0,maia-1400,128x10_20260531_lr1e-9-40,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 c6d4 d1d4 d7d6 c1g5 h7h6 g5f6 g7f6 e1c1 a7a6 c3d5 h6h5 d5b6 a8b8 b6c8 d8c8 f1c4 e7e6 d4f6 h8g8 c4b3 b7b5 g2g3 a6a5 a2a3 a5a4 b3a2 b5b4 a3b4 b8b4 d1d4 a4a3 d4b4 d6d5 e4d5 f8b4 d5e6 f7e6 a2e6 g8f8 f6g6 e8d8 e6c8 a3a2 g6a6 a2a1q a6a1 d8c8 a1a8 c8c7 a8f8 b4f8 h1e1 h5h4 g3h4 c7c6 h4h5 c6c7 f2f4 c7c6 f4f5 c6c7 f5f6 c7c6 f6f7 c6c7 e1e8 c7c6 e8f8 c6c7 h5h6 c7c6 h6h7 c6c7 h7h8q c7c6 f8c8 c6d6 f7f8q d6d7 f8d8 d7e6 h8e8 e6f5 h2h4 f5f4 h4h5 f4f3 h5h6 f3f2 h6h7 f2f3 h7h8q f3f2 h8f8 f2g2 b2b4 g2g3 b4b5 g3g2 b5b6 g2g3 b6b7 g3g2 b7b8q g2g1 c2c4 g1h1 c4c5 h1g1 c5c6 g1h1 c6c7 h1h2 d8e7 h2h3 c8d8 h3h2 c7c8q h2h1 e7d7 h1g1 b8c7 g1h1 c8b7 h1g1 d7g7
9,Win,128x10_20260531_lr1e-9-40,1-0,128x10_20260531_lr1e-9-40,maia-1400,d2d4 d7d5 g1f3 e7e6 c2c4 g8f6 b1c3 f8b4 e2e3 e8g8 a2a3 b4c3 b2c3 f6e4 d1c2 f7f5 c4d5 e6d5 c3c4 c7c6 f1d3 b8d7 e1g1 d7f6 f3e5 c8e6 f2f3 e4g5 a1b1 a8b8 a3a4 f6d7 e5d7 d8d7 c4c5 d7f7 a4a5 a7a6 b1b2 f7h5 c2f2 f8f7 h2h4 f5f4 h4g5 h5g5 e3f4 g5h5 g2g4 h5h3 f4f5 e6d7 f2h2 h3h2 g1h2 g7g6 f5g6 h7g6 h2g2 g8g7 g2g3 b8h8 b2b7 d7c8 b7b6 c8b7 f1e1 h8f8 f3f4 b7c8 b6c6 c8d7 c6d6 d7b5 d3g6 f7f6 f4f5 f6d6 c5d6 f8d8 g4g5 d8d6 e1e7 g7f8 f5f6 b5d7 g6f7 d7f5 f7h5 f5e4 e7e8
10,Draw,Draw,1/2-1/2,maia-1400,128x10_20260531_lr1e-9-40,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 c6d4 d1d4 d7d6 e4e5 d6e5 d4d8 e8d8 c1g5 h7h6 g5f6 g7f6 e1c1 d8c7 c3b5 c7b6 d1d8 a7a6 b5c3 e7e6 c3a4 b6c7 d8d3 h6h5 d3c3 c7d8 a4b6 a8b8 b6c8 b8c8 c3c8 d8c8 f1d3 h5h4 h1d1 f6f5 d3c4 e5e4 a2a3 h4h3 g2g3 f8c5 d1f1 f5f4 g3f4 h8h4 f4f5 e4e3 f5e6 f7e6 c4e6 c8c7 f2e3 c5e3 c1b1 a6a5 f1f7 c7b8 e6d5 b7b6 f7f8 b8c7 f8f7 c7d6 d5f3 d6e6 f7b7 h4f4 f3e2 f4f2 e2g4 e6e5 g4h3 f2h2 h3f1 h2h1 b7e7 e5d6 e7e3 h1f1 b1a2 f1f2 e3c3 a5a4 b2b3 b6b5 b3a4 b5a4 a2b2 d6d5 c3d3 d5c4 d3c3 c4b5 c3c8 f2f3 c8b8 b5a6 b8a8 a6b5 a8b8 b5a5 b8a8 a5b5 a8b8 b5a5 b8a8 a5b5 a8b8 b5a5 b8a8 a5b5 a8b8
