game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Loss,maia-1700,0-1,128x10_20260522_lr1e-9-80,maia-1700,d2d4 d7d5 c2c4 d5c4 g1f3 e7e6 e2e3 g8f6 f1c4 f8e7 e1g1 e8g8 b1c3 a7a6 e3e4 b7b5 c4b3 c8b7 e4e5 f6d5 c3d5 b7d5 b3d5 d8d5 d1c2 b8c6 a2a3 c6d4 f3d4 d5d4 c2c7 e7c5 c7c6 d4e5 c6f3 a8d8 a1b1 d8d5 b2b4 c5b6 g2g3 f8d8 c1e3 b6e3 f2e3 f7f6 e3e4 d5d3 f3f4 e5d4 g1h1 d3a3 f4g4 d8e8 b1c1 a3a2 c1d1 d4b2 h1g1 b2g2
2,Draw,Draw,1/2-1/2,maia-1700,128x10_20260522_lr1e-9-80,e2e4 g8f6 e4e5 f6g8 d2d4 d7d6 f2f4 g7g6 g1f3 g8h6 f1d3 f8g7 e1g1 e8g8 b1c3 b8c6 c1e3 c6b4 d3c4 h6f5 e3f2 e7e6 a2a3 b4c6 d4d5 e6d5 c4d5 d6e5 f4e5 c6e5 f3e5 g7e5 f2c5 c7c6 c5f8 d8f8 d5e4 f5e3 d1f3 e3f1 a1f1 f8e7 e4d3 f7f5 f1e1 g8g7 d3c4 e7c5 g1h1 a8b8 c4a2 c8d7 f3e3 b7b6 e3e5 c5e5 e1e5 g7f6 e5e1 b6b5 e1d1 b5b4 d1d7 a7a5 a3b4 a5b4 c3a4 g6g5 d7d6 f6e5 d6c6 h7h6 c6h6 f5f4 h6e6 e5d4 a2b3 g5g4 h1g1 g4g3 h2g3 f4f3 g2f3 b8e8 e6e8
3,Draw,Draw,1/2-1/2,128x10_20260522_lr1e-9-80,maia-1700,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 h2h3 f8c5 f3e5 c5f2 e1f2 c6e5 d2d4 e5g6 e4e5 f6g8 h3h4 d7d6 h4h5 g6e7 e5d6 d8d6 c3b5 d6f6 d1f3 f6b6 a2a4 a7a6 a4a5 b6f6 b5c7 e8d8 c7a8 f6d4 f3e3 d4f6 e3f3 f6d4 f3e3 d4f6 e3f3 f6d4 f3e3 d4f6 e3f3 f6d4 f3e3 d4f6 e3f3 f6d4
4,Win,128x10_20260522_lr1e-9-80,0-1,maia-1700,128x10_20260522_lr1e-9-80,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 h7h6 e1g1 d7d6 h2h3 g7g5 f3h2 h8g8 c2c3 a7a6 a2a4 h6h5 f2f3 h5h4 h2g4 f6h5 c1e3 h5f4 e3f4 g5f4 d3d4 e5d4 c3d4 f8g7 d4d5 c6e5 c4b3 a6a5 b1c3 b7b6 c3b5 e5g4 f3g4 g7e5 a1c1 e8f8 b5c7 a8a7 c7b5 a7a8 c1c6 a8b8 d1c2 g8g4 h3g4 h4h3 g2h3 d8h4 c6c8 b8c8 c2c8 f8g7 f1f3 h4e1 g1g2 e1e2 f3f2 f4f3 g2h1 e2e1 f2f1 e1f1
5,Loss,maia-1700,0-1,128x10_20260522_lr1e-9-80,maia-1700,d2d4 d7d5 c2c4 d5c4 g1f3 e7e6 e2e3 g8f6 f1c4 f8e7 e1g1 e8g8 b1c3 a7a6 e3e4 b7b5 c4b3 c8b7 e4e5 f6d5 c3d5 b7d5 b3d5 d8d5 d1c2 b8c6 a2a3 c6d4 f3d4 d5d4 c2c7 e7c5 c7c6 d4e5 c6f3 a8d8 a1b1 d8d5 b2b4 c5b6 g2g3 f8d8 c1e3 b6e3 f2e3 f7f6 e3e4 d5d3 f3f4 e5d4 g1h1 d3a3 f4g4 d8e8 b1c1 a3a2 c1d1 d4b2 h1g1 b2g2
6,Draw,Draw,1/2-1/2,maia-1700,128x10_20260522_lr1e-9-80,e2e4 g8f6 e4e5 f6g8 d2d4 d7d6 f2f4 g7g6 g1f3 g8h6 f1d3 f8g7 e1g1 e8g8 b1c3 b8c6 c1e3 c6b4 d3c4 h6f5 e3f2 e7e6 a2a3 b4c6 d4d5 e6d5 c4d5 d6e5 f4e5 c6e5 f3e5 g7e5 f2c5 c7c6 c5f8 d8f8 d5e4 f5e3 d1f3 e3f1 a1f1 f8e7 e4d3 f7f5 f1e1 g8g7 d3c4 e7c5 g1h1 a8b8 c4a2 c8d7 f3e3 b7b6 e3e5 c5e5 e1e5 g7f6 e5e1 b6b5 e1d1 b5b4 d1d7 a7a5 a3b4 a5b4 c3a4 g6g5 d7d6 f6e5 d6c6 h7h6 c6h6 f5f4 h6e6 e5d4 a2b3 g5g4 h1g1 g4g3 h2g3 f4f3 g2f3 b8e8 e6e8
7,Draw,Draw,1/2-1/2,128x10_20260522_lr1e-9-80,maia-1700,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 h2h3 f8c5 f3e5 c5f2 e1f2 c6e5 d2d4 e5g6 e4e5 f6g8 h3h4 d7d6 h4h5 g6e7 e5d6 d8d6 c3b5 d6f6 d1f3 f6b6 a2a4 a7a6 a4a5 b6f6 b5c7 e8d8 c7a8 f6d4 f3e3 d4f6 e3f3 f6d4 f3e3 d4f6 e3f3 f6d4 f3e3 d4f6 e3f3 f6d4 f3e3 d4f6 e3f3 f6d4
8,Win,128x10_20260522_lr1e-9-80,0-1,maia-1700,128x10_20260522_lr1e-9-80,e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 h7h6 e1g1 d7d6 h2h3 g7g5 f3h2 h8g8 c2c3 a7a6 a2a4 h6h5 f2f3 h5h4 h2g4 f6h5 c1e3 h5f4 e3f4 g5f4 d3d4 e5d4 c3d4 f8g7 d4d5 c6e5 c4b3 a6a5 b1c3 b7b6 c3b5 e5g4 f3g4 g7e5 a1c1 e8f8 b5c7 a8a7 c7b5 a7a8 c1c6 a8b8 d1c2 g8g4 h3g4 h4h3 g2h3 d8h4 c6c8 b8c8 c2c8 f8g7 f1f3 h4e1 g1g2 e1e2 f3f2 f4f3 g2h1 e2e1 f2f1 e1f1
9,Win,128x10_20260522_lr1e-9-80,1-0,128x10_20260522_lr1e-9-80,maia-1700,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 f8c5 d4c6 b7c6 b1c3 d7d6 f1d3 g8f6 h2h3 e8g8 e1g1 h7h6 c3a4 c5b6 a4b6 a7b6 b2b3 f8e8 c1b2 f6e4 f1e1 d6d5 c2c4 c8f5 f2f3 e4g3 e1e8 d8e8 d1d2 f5d3 d2d3 e8e2 d3c3 f7f6 c4c5 a8e8 c5b6 c7b6 c3c6 e2b2 c6e8 g8h7 a1e1 b2d4 g1h2 g3f5 e8e2 d4f4 h2g1 f5g3 e2e3 f4b4 e1d1 g3f5 e3d3 b4c5 g1h1 h7g6 g2g4 c5f2 d1d2 f2e1 h1h2 e1g3 h2h1 g3h3 h1g1 h3g3 g1h1 g3e1 h1g2 e1g3 g2f1 g3h3 f1e1 h3h1 e1e2 h1g2 e2e1 g2g1 e1e2 g1g2 e2d1 g2g1 d1c2 g1c5 c2b1 c5g1 d2d1 g1e3 g4f5 g6g5 d3e3 g5f5 d1d5 f5g6 e3e4 g6f7 d5d7 f7g8 e4e8 g8h7 d7d8 b6b5 a2a3 b5b4 a3a4 f6f5 f3f4 h6h5 e8h5
10,Loss,maia-1700,1-0,maia-1700,128x10_20260522_lr1e-9-80,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1e3 e7e6 f2f3 d6d5 e4d5 f6d5 c3d5 e6d5 f1b5 c8d7 e1g1 f8e7 f1e1 e8g8 c2c3 a7a6 b5a4 f8e8 a4b3 c6d4 e3d4 d7c6 d1d3 a6a5 b3c2 g7g6 e1e2 a5a4 a1e1 a4a3 b2b3 c6b5 d3b5 d8c7 b5d5 e8d8 e2e7 d8d5 e7c7 d5d8 e1e7 h7h6 e7f7 d8d4 c3d4 a8b8 c2g6 g8h8 f7h7 h8g8 h7g7 g8h8 g7h7 h8g8 c7g7 g8f8 g7f7 f8g8 f7g7 g8f8 g7b7 b8b7 h7b7 h6h5 g6h5 f8g8 d4d5 g8h8 d5d6 h8g8 d6d7 g8g7 d7d8q g7h6 d8h8 h6g5 b7b5 g5f4 h8e5
