game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Win,256x20_20260605_lr1e-9-250,1-0,256x20_20260605_lr1e-9-250,256x20_20260605_lr1e-9,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 e8g8 e1c1 e6e5 g4g5 h6g5 f3g5 e5d4 e3d4 d5c4 f1c4 d7b6 c4b3 a7a5 h2h4 a5a4 c3a4 b6a4 h4h5 a4b6 h5h6 g7g6 h6h7 g8h8 g5f7 f8f7 c2g6 f7g7 g6g7 h8g7 h7h8q d8h8 d1g1 g7f8 h1h8 f6g8 g1g8 f8e7 h8h7 e7f6 h7f7
2,Loss,256x20_20260605_lr1e-9,1-0,256x20_20260605_lr1e-9,256x20_20260605_lr1e-9-250,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 d5c4 f1c4 b7b5 c4e2 c8b7 e1g1 e8g8 g4g5 h6g5 f3g5 b5b4 c3e4 f6e4 g5e4 c6c5 f2f4 c5d4 e4d6 d4e3 d2e3 b7d5 e2f3 d7f6 d6e4 d5e4 f3e4 f6e4 c2e4 a7a5 a2a3 b4a3 a1a3 a8b8 e3d4 f7f5 e4e5 f8f7 a3g3 b8b7 d4c3 a5a4 e5e6 a4a3 b2a3 d8e7 e6d5 e7d7 d5c4 b7c7 c4b3 c7b7 b3a2 g8h7 a2g2 h7g8 h2h4 g8h7 h4h5 d7e6 f1e1 e6d7 h5h6 g7g6 g3g6 b7b6 g6b6 f7g7 h6g7 h7g8 b6b8 d7c8 b8c8 g8h7 c8h8
3,Loss,256x20_20260605_lr1e-9,0-1,256x20_20260605_lr1e-9-250,256x20_20260605_lr1e-9,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 d5c4 f1c4 b7b5 c4e2 c8b7 e3e4 b5b4 e4e5 b4c3 b2c3 c6c5 e5f6 d7f6 e1g1 e8g8 h2h3 c5d4 c3d4 d8e7 c2d3 a7a5 a2a4 f6e4 d2e3 f7f5 a1b1 b7d5 f3e5 d6e5 d4e5 f5f4 e3d4 f4f3 e2f3 f8f3 d3f3 e4d2 f3e2 d2f3 e2f3 d5f3 g1h2 h6h5 g4h5 e7h4 d4e3 f3g4 e3f4 g4h3 f4g3 h4h5 h2g1 h3f1 b1f1 a8f8 f1e1 g7g5 e1e3 h5d1 g1h2 g5g4 h2g2 g8f7 g3h4 f7g6 h4g3 g6f5 g3h4 d1a4 h4f6 a4d1 f6e7 f8f7 e7f6 a5a4 f6h4 a4a3 h4f6 a3a2 f6h4 a2a1q e3e1 d1e1 h4g5 e1g1
4,Loss,256x20_20260605_lr1e-9,1-0,256x20_20260605_lr1e-9,256x20_20260605_lr1e-9-250,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 d5c4 f1c4 b7b5 c4e2 c8b7 e1g1 e8g8 g4g5 h6g5 f3g5 b5b4 c3e4 f6e4 g5e4 c6c5 f2f4 c5d4 e4d6 d4e3 d2e3 b7d5 e2f3 d7f6 d6e4 f6e4 f3e4 d5e4 c2e4 a7a5 a2a3 b4a3 a1a3 a8b8 e3d4 f7f5 e4e5 b8b7 a3g3 f8f7 d4c3 a5a4 h2h4 a4a3 h4h5 a3b2 c3b2 g8h7 b2c3 d8b6 g1h2 b6c6 h5h6 g7g6 f1g1 f7f8 g3g6 c6d5 g6g7 h7h8 e5d5 e6d5 g7b7 d5d4 c3d4 f8f6 d4f6
5,Loss,256x20_20260605_lr1e-9,0-1,256x20_20260605_lr1e-9-250,256x20_20260605_lr1e-9,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 e8g8 e1c1 d5c4 g4g5 h6g5 h2h4 g5g4 f3g5 b7b5 h4h5 b5b4 h5h6 g7g6 c3e4 f6e4 g5e4 c4c3 b2c3 b4c3 d2c3 a8b8 h6h7 g8h8 e4d6 d8e7 d4d5 e6e5 d5c6 d7c5 d1d5 f7f6 d5c5 e7d6 c3b2 c8f5 e3e4 f5e6 c6c7 b8c8 c5c6 d6e7 f1a6 e6d7 a6c8 d7c8 c2b3 a7a5 b2a3 a5a4 b3c4 e7a3 c1b1 g4g3 f2g3 c8d7 c7c8q d7c8 c6c8 g6g5 b1c2 g5g4 h1h4 f6f5 e4f5 a3e7 h4g4 e7f7 g4g8 h8h7 c4h4 h7g8 h4g5 g8h7 g5h4 h7g8 h4g4 g8h7 c8c7 f7c7 c2d3 c7d6 d3e4 d6d4 e4f3 e5e4 f3g2 d4d2 g2h3 d2h6 h3g2 e4e3 g4f3 e3e2 f3e2 f8f5 e2e4 h6d2 g2h3 h7g6 e4e6 f5f6 e6g8 g6f5 g8h7 f5e5 h7g7 a4a3 g7h8 d2h6 h3g2 h6h8 g3g4 h8h4 g4g5 h4g5 g2h3 f6h6
6,Draw,Draw,1/2-1/2,256x20_20260605_lr1e-9,256x20_20260605_lr1e-9-250,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 d5c4 f1c4 b7b5 c4e2 c8b7 e1g1 e8g8 g4g5 h6g5 f3g5 b5b4 c3e4 f6e4 g5e4 c6c5 f2f4 c5d4 e4d6 d4e3 d2e3 b7d5 e2f3 d7f6 d6e4 d5e4 f3e4 f6e4 c2e4 a7a5 a2a3 b4a3 a1a3 a8b8 e3d4 f7f5 e4e5 f8f7 a3g3 b8b7 d4c3 a5a4 e5e6 a4a3 b2a3 d8e7 e6d5 e7d7 d5c4 b7c7 c4b3 c7b7 b3a2 g8h7 a2g2 h7g8 g2h3 d7e6 f1e1 e6d7 h3h5 b7b8 g3h3 d7a7 g1f1 a7a6 f1g2 a6b7 g2g1 b7a7 g1f1 a7a6 f1g2 a6b7 g2g1 b7a7 g1f1 a7a6 f1g2 a6b7 g2g1 b7a7 g1f1 a7a6 f1g2 a6b7 g2f2 b7a7 f2g2 a7b7
7,Draw,Draw,1/2-1/2,256x20_20260605_lr1e-9-250,256x20_20260605_lr1e-9,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 d5c4 f1c4 b7b5 c4e2 c8b7 e3e4 b5b4 e4e5 b4c3 b2c3 c6c5 e5f6 d7f6 e1g1 e8g8 h2h3 c5d4 c3d4 d8e7 c2d3 a7a5 a2a4 f6e4 d2e3 f7f5 a1b1 b7c6 b1b6 c6d5 f3e5 d6e5 d4e5 f5f4 e3d4 f4f3 e2f3 f8f3 d3f3 e4d2 f3e2 d2f3 e2f3 d5f3 g1h2 h6h5 g4h5 e7h4 f1g1 f3g4 g1g3 g4h3 g3h3 h4d4 h5h6 d4f2 h2h1 g7h6 h3g3 g8f8 b6b3 f2f1 h1h2 f1e2 h2h1 e2f1 h1h2 f1e2 h2h1 e2f1 h1h2 f1e2 h2h1 e2f1 h1h2 f1e2 h2h1 e2d1 h1h2 d1c2 h2g1 c2d1 g1h2 d1e2
8,Draw,Draw,1/2-1/2,256x20_20260605_lr1e-9,256x20_20260605_lr1e-9-250,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 f1e2 e8g8 e1g1 d5c4 e2c4 b7b5 c4d3 c8b7 c1d2 b5b4 c3a4 c6c5 d4c5 d7c5 a4c5 d6c5 c2c5 d8d3 d2b4 a7a5 b4a3 b7f3 g2f3 d3e2 c5g5 h7h6 g5g3 f8d8 f1e1 e2b5 g1h1 d8d2 e1g1 f6h5 g3h4 b5f5 h4g4 f5g4 f3g4 h5f6 f2f3 f6d5 g1g2 d2d3 a3c5 d5e3 c5e3 d3e3 g2f2 a5a4 h1g2 g7g5 h2h3 g8g7 a1c1 a8b8 c1c4 a4a3 b2b3 e3d3 f2e2 g7g6 g2f2 g6f6 f2g3 f6g6 g3f2 b8b5 f2g2 h6h5 g4h5 g6h5 h3h4 g5h4 g2h3 b5g5 c4h4 h5g6 h4g4 f7f5 g4g5 g6g5 h3g3 e6e5 g3f2 g5f4 f2g2 d3f3 b3b4 e5e4 b4b5 f3g3 g2f1 e4e3 b5b6 f4f3 b6b7 g3g8 b7b8q g8b8 e2f2 f3e4 f2e2 f5f4 f1g2 f4f3 g2f1 b8b1 e2e1 e3e2 f1f2 b1e1 f2e1 f3f2 e1f2 e2e1q f2e1 e4d3 e1f2 d3c3 f2e3 c3b2 e3d2 b2a2 d2c2 a2a1 c2c1 a3a2 c1c2
9,Win,256x20_20260605_lr1e-9-250,1-0,256x20_20260605_lr1e-9-250,256x20_20260605_lr1e-9,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 f1e2 e8g8 e1g1 d5c4 e2c4 b7b5 c4d3 c8b7 c1d2 b5b4 c3a4 c6c5 d4c5 d7c5 a4c5 d6c5 c2c5 d8d3 d2b4 a7a5 b4a3 b7f3 g2f3 d3e2 c5g5 h7h6 g5g3 f8d8 f1e1 e2b5 g1h1 d8d2 a1c1 a8d8 e3e4 f6h5 g3h4 g7g5 h4h5 d2f2 h5h6 b5e5 e1d1 d8e8 a3d6 e5g7 h6g7 g8g7 d6e5 g7g6 h1g1 f2e2 a2a4 f7f5 e4f5 e6f5 f3f4 g6h5 d1e1 e2d2 f4g5 h5g5 h2h4 g5h5 g1h1 h5h4 c1c4 h4h5 c4f4 h5g6 f4f3 d2c2 b2b3 e8e7 h1g1 e7e8 g1f1 e8e7 f3g3 g6h5 g3h3 h5g6 h3g3 g6f7 g3g7 f7e8 g7g8 e8f7 g8g5 f7e8 g5f5 e8d7 e1d1 d7e6 f5g5 e7f7 f1e1 f7f5 g5f5 e6f5 d1d5 f5e6 d5a5 e6d7 b3b4 d7e6 e1d1 c2g2 b4b5 g2g1 d1e2 g1g2 e2f3 g2g1 b5b6 e6d7 b6b7 d7e6 b7b8q g1f1 f3g4 f1g1 g4h5 g1h1 h5g6 h1g1 g6h7 g1h1 h7g7 h1g1 g7h8 g1h1 h8g8 h1g1 e5g7 e6d7 a5a7 d7c6 b8b5 c6d6 a7d7 d6e6 b5d5
10,Draw,Draw,1/2-1/2,256x20_20260605_lr1e-9,256x20_20260605_lr1e-9-250,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 f1e2 e8g8 e1g1 d5c4 e2c4 b7b5 c4d3 c8b7 c1d2 b5b4 c3a4 c6c5 d4c5 d7c5 a4c5 d6c5 c2c5 d8d3 d2b4 b7f3 g2f3 f6d5 b4a3 d3e2 c5d4 f8d8 d4g4 d5f6 g4g3 d8d5 e3e4 f6h5 g3g4 h7h6 e4d5 h5f4 g4f4 g7g5 f4f6 e2d3 d5e6 f7e6 f6e6 g8h8 e6h6 h8g8 h6g5 g8h8 g5h6 h8g8 g1h1 d3f3 h1g1 f3g4 g1h1 g4f3 h1g1 f3g4 g1h1 g4f3 h1g1 f3g4 g1h1 g4f3 h1g1 f3g4 g1h1 g4f3
