game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Loss,256x20_20260611_lr1e-9,0-1,256x20_20260611_lr1e-9-10,256x20_20260611_lr1e-9,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 e8g8 e1c1 d5c4 g4g5 h6g5 f3g5 b7b5 h1g1 a7a5 f2f4 a5a4 a2a3 d8e7 c1b1 b5b4 a3b4 a4a3 f1c4 a3b2 b1b2 d6b4 d1a1 a8b8 b2c1 c6c5 d4d5 d7b6 d5e6 b6c4 e6f7 f8f7 g5f7 e7f7 a1a7 c8d7 e3e4 c4d2 c1d2 b4c3 d2c1 f6e4 c2d3 c3d2 c1d1 e4f2 d1e2 f2d3 e2d2 f7f4 d2d1 b8b1 d1e2 b1b2 e2d1 f4c1
2,Win,256x20_20260611_lr1e-9-10,0-1,256x20_20260611_lr1e-9,256x20_20260611_lr1e-9-10,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 d5c4 f1c4 b7b5 c4e2 c8b7 e1g1 e8g8 g4g5 h6g5 e3e4 e6e5 d2g5 b5b4 d4e5 d7e5 f3e5 d6e5 f2f4 e5d4 g1h1 c6c5 e2f3 b4c3 b2c3 d4e3 e4e5 b7f3 f1f3 d8d5 c2g2 f6h5 f3e3 d5g2 h1g2 f7f6 e5f6 g7f6 g5h6 f8e8 e3e8 a8e8 g2f3 g8h7 h6f8 e8f8 f3g4 h7g6 f4f5 g6h6 g4f3 h6g5 a1g1 g5f5 h2h4 f8e8 a2a4 e8e4 a4a5 h5f4 g1g7 f4d5 h4h5 e4e3 f3f2 e3h3 c3c4 d5e3 f2e2 e3c4 g7a7 c4e5 a5a6 c5c4 a7a8 c4c3 a6a7 c3c2 e2d2 c2c1q d2c1 h3h1 c1d2 h1h5 d2c3 h5h7 c3d4 h7d7 d4c3 e5c6 c3c4 c6a7 c4c5 f5e5 c5c4 f6f5 c4c3 f5f4 c3c2 f4f3 a8f8 e5e4 f8e8 e4f4 e8f8 f4g3 f8g8 g3f2 g8f8 f2e2 f8e8 e2f1 e8f8 f3f2 f8g8 a7c6 c2c3 f1e2 g8f8 f2f1q f8f1 e2f1 c3c4 f1e2 c4c3 d7d4 c3b2 e2d2 b2b3 c6a5 b3a2 d2c2 a2a3 a5c6 a3a2 d4a4
3,Win,256x20_20260611_lr1e-9-10,1-0,256x20_20260611_lr1e-9-10,256x20_20260611_lr1e-9,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 d5c4 f1c4 b7b5 c4e2 c8b7 e3e4 b5b4 c3a4 c6c5 e4e5 c5d4 e5f6 d8f6 c2d3 e8g8 g4g5 h6g5 h1g1 g5g4 g1g4 b7f3 e2f3 d7e5 d3e4 f6f3 e4f3 e5f3 e1e2 f7f5 g4g6 g8f7 g6g2 d4d3 e2f3 e6e5 f3e3 e5e4 f2f4 g7g5 g2g5 d6e7 g5f5 e7f6 a4c5 f7g6 f5f6 g6f6 c5d7 f6e6 d7f8 a8f8 e3e4 a7a5 a2a3 b4a3 a1a3 a5a4 a3a4 e6d7 b2b4 d7c6 e4d3 c6b7 d2e3 b7c6 b4b5 c6d5 b5b6 d5c6 h2h4 c6b7 a4a7 b7c6 b6b7 c6c7 b7b8q c7b8 h4h5 f8f6 h5h6 b8c8 h6h7 f6h6 f4f5 h6h3 f5f6 c8b8 f6f7 h3e3 d3e3 b8a7 f7f8q a7b6 h7h8q b6c6 h8f6 c6d5 f8d6 d5c4 d6d3 c4b4 f6e7 b4a5 e7c5 a5a4 d3c2
4,Loss,256x20_20260611_lr1e-9,1-0,256x20_20260611_lr1e-9,256x20_20260611_lr1e-9-10,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 d5c4 f1c4 b7b5 c4e2 c8b7 e1g1 e8g8 g4g5 h6g5 e3e4 e6e5 d2g5 b5b4 d4e5 d7e5 f3e5 d6e5 f2f4 e5d4 g1h1 b4c3 b2c3 c6c5 c3d4 c5d4 e2f3 f8e8 c2g2 d8e7 e4e5 b7f3 f1f3 a8b8 a1g1 b8b1 g5f6 b1g1 g2g1 e7f6 e5f6 g7g6 f4f5 g6g5 g1g5 g8f8 g5g7
5,Loss,256x20_20260611_lr1e-9,0-1,256x20_20260611_lr1e-9-10,256x20_20260611_lr1e-9,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 e8g8 e1c1 d5c4 g4g5 h6g5 f3g5 b7b5 h1g1 a7a5 f2f4 b5b4 c3e4 b4b3 a2b3 c4b3 c2b1 d8e7 e4d6 e7d6 e3e4 a5a4 e4e5 a4a3 e5d6 a3a2 b1a1 c6c5 d4c5 c8b7 d2c3 b7c6 f1g2 c6d5 g2d5 e6d5 c5c6 d5d4 c6d7 d4c3 b2c3 f6d7 g5e4 f7f5 e4c5 d7c5 c1b2 c5a4 b2b3 f8b8 b3c2 b8b2 a1b2 a4b2 d6d7 b2d1 g1d1 a2a1q d7d8q a8d8 d1a1 g8f7 h2h4 d8h8 a1h1 g7g6 c3c4 f7e6 c2d3 e6d6 d3d4 d6e6 c4c5 h8a8 d4c4 a8a4 c4b5 a4f4 c5c6 f4f2 h1g1 f2b2 b5c5 b2c2 c5b6 c2b2 b6c7 e6f6 c7c8 f5f4 c6c7 f4f3 g1f1 f3f2 c8d7 b2d2 d7c6 d2c2 c6d7 c2d2 d7c6 d2c2 c6d7 c2d2 d7c6 d2c2 c6b7 c2b2 b7c8 f6e7 f1d1 b2c2 c8b7 c2b2 b7c8 b2c2 c8b7 c2b2 b7c8 b2c2 c8b7 c2b2 b7c8 b2c2 c8b7 c2b2 b7c6 b2c2 c6b6 e7f6 b6b7 c2b2 b7c8 f6e6 c8d8 b2c2 d8c8 e6f5 c8b7 f5g4 c7c8q c2c8 b7c8 g4h4 c8d7 g6g5 d7e6 g5g4 e6f5 h4g3 f5g5 g3f3 g5h4 g4g3 h4h3 g3g2 d1d3 f3e2 d3d2 e2d2 h3g2 d2e1 g2f3 f2f1q f3e4 e1d2 e4d5 d2c3 d5e6 c3d4 e6d6 f1f6 d6c7 d4c5 c7b7 f6e7 b7b8 c5b6 b8a8 e7d8
6,Win,256x20_20260611_lr1e-9-10,0-1,256x20_20260611_lr1e-9,256x20_20260611_lr1e-9-10,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 d5c4 f1c4 b7b5 c4e2 c8b7 e1g1 e8g8 g4g5 h6g5 e3e4 e6e5 d2g5 b5b4 d4e5 d7e5 f3e5 d6e5 f2f4 e5d4 g1h1 c6c5 e2f3 b4c3 b2c3 d4e3 e4e5 b7f3 f1f3 d8d5 c2g2 f6h5 f3e3 d5g2 h1g2 f7f6 e5f6 g7f6 g5h6 f8e8 e3e8 a8e8 g2f3 g8h7 h6f8 e8f8 f3g4 h7g6 f4f5 g6h6 g4f3 h6g5 a1g1 g5f5 h2h4 f8e8 a2a4 e8e4 a4a5 h5f4 g1g7 f4d5 h4h5 e4e3 f3f2 e3h3 c3c4 d5e3 f2e2 e3c4 a5a6 c4e5 e2f1 c5c4 f1g2 h3h5 g7a7 c4c3 a7c7 c3c2 a6a7 c2c1q c7c1 h5g5 g2f1 g5g8 f1e2 g8a8 c1c7 f5e6 e2e3 e6d6 c7b7 e5c6 e3f4 a8a7 b7a7 c6a7 f4f5 d6e7 f5e4 e7e6 e4f4 f6f5 f4e3 e6e5 e3f3 f5f4 f3e2 e5e4 e2f2 f4f3 f2g3 e4e3 g3g4 f3f2 g4f5 f2f1q f5e5 a7c6 e5d5 f1f6 d5c5 c6d4 c5b4 f6e7 b4a4 e7a7 a4b4 a7b6 b4a4 b6b5 a4a3 b5b3
7,Win,256x20_20260611_lr1e-9-10,1-0,256x20_20260611_lr1e-9-10,256x20_20260611_lr1e-9,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 d5c4 f1c4 b7b5 c4e2 c8b7 e3e4 b5b4 c3a4 c6c5 e4e5 c5d4 e5f6 d8f6 c2d3 e8g8 g4g5 h6g5 h1g1 g5g4 g1g4 b7f3 e2f3 d7e5 d3e4 f6f3 e4f3 e5f3 e1e2 f7f5 g4g6 g8f7 g6g2 d4d3 e2f3 e6e5 f3e3 e5e4 f2f4 g7g5 g2g5 d6e7 g5f5 e7f6 a4c5 f7g6 f5f6 g6f6 c5d7 f6e6 d7f8 a8f8 e3e4 a7a5 a2a3 b4a3 a1a3 a5a4 a3a4 e6d7 b2b4 d7c6 e4d3 c6b7 d2e3 b7c6 b4b5 c6d5 b5b6 d5c6 h2h4 c6b7 a4a7 b7c6 b6b7 c6c7 b7b8q c7b8 h4h5 f8f6 h5h6 b8c8 h6h7 f6h6 f4f5 h6h3 f5f6 c8b8 f6f7 h3e3 d3e3 b8a7 f7f8q a7b6 h7h8q b6c6 h8f6 c6d5 f8d6 d5c4 d6d3 c4b4 f6e7 b4a5 e7c5 a5a4 d3c2
8,Loss,256x20_20260611_lr1e-9,1-0,256x20_20260611_lr1e-9,256x20_20260611_lr1e-9-10,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 g2g4 h7h6 c1d2 d5c4 f1c4 b7b5 c4e2 c8b7 e1g1 e8g8 g4g5 h6g5 e3e4 e6e5 d2g5 b5b4 d4e5 d7e5 f3e5 d6e5 f2f4 e5d4 g1h1 b4c3 b2c3 c6c5 c3d4 c5d4 e2f3 f8e8 c2g2 d8e7 e4e5 b7f3 f1f3 a8b8 a1g1 b8b1 g5f6 b1g1 g2g1 e7f6 e5f6 g7g6 f4f5 g6g5 g1g5 g8f8 g5g7
9,Draw,Draw,1/2-1/2,256x20_20260611_lr1e-9-10,256x20_20260611_lr1e-9,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 f1e2 e8g8 e1g1 d5c4 e2c4 b7b5 c4d3 c8b7 c1d2 b5b4 c3a4 c6c5 d4c5 d7c5 a4c5 d6c5 c2c5 d8d3 d2b4 b7f3 g2f3 f6d5 b4a3 d3g6 g1h1 g6h5 f1g1 h5f3 g1g2 g7g6 c5d4 f8e8 b2b3 e6e5 d4g4 f3g4 g2g4 f7f5 g4c4 f5f4 e3f4 d5f4 h1g1 a7a5 g1f1 g6g5 a1d1 a5a4 b3a4 h7h5 a3c1 g8f7 h2h4 g5h4 c1f4 e5f4 d1d5 f7g6 f1g2 f4f3 g2h3 e8e2 c4c6 g6f7 d5h5 e2f2 h5h7 f7g8 c6h6 a8a4 h7h8 g8f7 h8h7 f7g8 h7h8 g8f7 h8h7 f7g8 h7h8 g8f7 h8h7 f7g8 h7h8 g8f7 h8h7 f7g8
10,Win,256x20_20260611_lr1e-9-10,0-1,256x20_20260611_lr1e-9,256x20_20260611_lr1e-9-10,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 e2e3 b8d7 d1c2 f8d6 f1e2 e8g8 e1g1 d5c4 e2c4 b7b5 c4d3 c8b7 c1d2 b5b4 c3a4 c6c5 d4c5 a8c8 a2a3 a7a5 a3b4 a5b4 d2b4 b7f3 g2f3 f6d5 b4a3 d8g5 g1h1 g5h4 f3f4 d5f4 e3f4 d6f4 f2f3 d7e5 d3e4 f7f5 e4b7 f8f6 a3b4 f6h6 b4c3 f4h2 b7c8 h2g3 h1g1 h4h1
