game_id,model_a_outcome,winner,result_score,white_agent,black_agent,moves
1,Draw,Draw,1/2-1/2,48x5_20260617_lr1e-9-200,48x5_20260617_lr1e-9,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 c7c6 b5e2 d7d5 e4e5 g8e7 c2c3 e7f5 d2d3 f8e7 e2g4 e8g8 c3d4 f5d4 c1e3 c6c5 e3d4 c5d4 b1d2 d8b6 g4c8 a8c8 d1b3 b6c6 d2f3 e7c5 a1c1 b7b6 f1e1 c6e6 b3a4 a7a5 a2a3 e6f5 a4b3 f8d8 h2h3 h7h6 e5e6 f7e6 e1e5 f5f7 c1e1 d8d6 b3d1 b6b5 d1e2 d6c6 e5e6 c6e6 e2e6 f7e6 e1e6 g8f7 e6a6 a5a4 g1f1 f7e7 f1e2 e7d7 f3e5 d7c7 a6g6 c8e8 f2f4 e8e7 e2f3 c5d6 g2g4 b5b4 a3b4 d6b4 g6a6 c7b7 a6a4 b4c5 a4a5 b7b6 a5a8 c5d6 a8d8 b6c7 d8a8 g7g5 a8a7 c7b6 a7e7 d6e7 f4f5 b6c5 e5d7 c5d6 d7b6 d6e5 b6d7 e5d6 d7b6 d6e5 b6d7 e5d6 d7b6 d6e5 b6d7 e5d6 d7b6 d6e5 b6d7 e5d6
2,Win,48x5_20260617_lr1e-9-200,0-1,48x5_20260617_lr1e-9,48x5_20260617_lr1e-9-200,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 c7c6 b5e2 d7d5 e4e5 g8e7 c2c3 e7f5 d2d3 f8e7 e2g4 e8g8 c3d4 f5d4 c1e3 c6c5 e3d4 c5d4 b1d2 d8b6 g4c8 a8c8 d1b3 b6e6 d2f3 c8c7 f1e1 f8c8 f3d4 e6b6 b3d5 c8d8 d5e4 d8d4 e4e2 c7d7 a1d1 b6e6 a2a3 g7g6 e2e3 e7d8 h2h3 d8b6 b2b4 g8g7 e3e2 d7d5 g2g3 e6h3 e2f3 h3e6 g1g2 b6d8 e1e4 d8b6 e4d4 d5d4 f3b7 e6e5 d1d2 h7h5 b7f3 h5h4 d2e2 e5f6 f3f6 g7f6 g3h4 d4h4 e2e4 h4h5 a3a4 h5d5 a4a5 b6d4 g2f3 g6g5 f3e2 f6f5 e4e7 f7f6 e7b7 g5g4 e2f1 f5f4 f1g2 f6f5 b7h7 d5b5 h7d7 b5b4 d7d5 b4a4 g2f1 a7a6 f1g2 f4g5 g2f1 g5f4 f1g2 d4c3 g2f1 a4a1 f1g2 a1a2 g2f1 a2a1 f1g2 a1a2 g2f1 a2a1 f1g2 a1a5 d5d8 a5a2 g2f1 f4f3 f1g1 a2a1 g1h2 c3e5
3,Win,48x5_20260617_lr1e-9-200,1-0,48x5_20260617_lr1e-9-200,48x5_20260617_lr1e-9,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 c7c6 b5e2 d7d5 e4e5 g8e7 c2c3 e7f5 d2d3 f8e7 e2g4 e8g8 c3d4 f5d4 c1e3 d4e6 d3d4 f7f5 e5f6 e7f6 b1c3 e6c7 g4c8 a8c8 d1g4 d8e8 f1e1 e8f7 a1c1 c8e8 h2h3 c7e6 c3e2 h7h5 g4g3 h5h4 g3g4 f6d8 e1f1 d8c7 g4h4 f7g6 h4g4 g6g4 h3g4 g8f7 f2f4 g7g6 g1f2 f8h8 f2f3 c7b6 f1h1 b6c7 b2b3 c7d6 g2g3 a7a5 f4f5 e6c7 e3f4 c7b5 h1h8 e8h8 a2a4 g6f5 a4b5 f5g4 f3g4 d6f4 g3f4 c6b5 c1c5 a5a4 c5b5 a4b3 e2c3 h8h1 g4f5 h1h3 c3d5 h3h5 f5e4 f7e6 b5b6 e6d7 f4f5 h5h4 e4e5 b3b2 b6b2 d7e8 b2b7 h4h1 f5f6 h1e1 e5d6 e8f8 d5f4 f8g8 d4d5 e1f1 d6e5 f1e1 e5d6 e1f1 d6e5 f1e1 e5f5 e1d1 f5e6 d1e1 e6f5 e1d1 f5e5 d1e1 e5f5 e1d1 b7g7 g8f8 f5e6 d1e1 e6f5 e1d1 f5e6 d1e1 e6d7 e1d1 f4e6
4,Loss,48x5_20260617_lr1e-9,1-0,48x5_20260617_lr1e-9,48x5_20260617_lr1e-9-200,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 c7c6 b5e2 d7d5 e4e5 g8e7 d2d3 e7g6 f2f4 g6h4 b1d2 h4f5 d2f3 h7h5 c2c3 d4c3 b2c3 f8c5 d3d4 c5e7 e2d3 g7g6 a2a4 e8g8 a4a5 c6c5 d4c5 e7c5 g1h1 f5e3 c1e3 c5e3 f3d4 c8g4 d1b3 e3d4 c3d4 a8b8 f4f5 g6f5 d3f5 d8g5 f5g4 h5g4 b3d5 g4g3 f1f3 b8d8 d5e4 g3h2 f3h3 g5g6 e4f4 g8g7 h3g3 f8h8 a1f1 h8h6 g3g6 h6g6 f4f7 g7h6 f7f4 h6g7 f4f7 g7h6 f7f4 h6g7 f4f7 g7h6 e5e6 d8g8 e6e7 b7b6 f7f4 h6h7 f4e4 h7h6 e4f4 h6h7 f4e4 h7h6 e4f4 h6h7 f4e4 b6a5 e7e8n h7h8 e4e5 h8h7 f1f7 h7h6 e5e3 g6g5 f7f6 g8g6 e3h3 g5h5 h3e3 h5g5 f6f4 g5h5 f4f8 h6h7 e3e7 h7h6 f8h8
5,Draw,Draw,1/2-1/2,48x5_20260617_lr1e-9-200,48x5_20260617_lr1e-9,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 c7c6 b5e2 d7d5 e4e5 g8e7 c2c3 e7f5 d2d3 f8e7 e2g4 e8g8 c3d4 f5d4 c1e3 c6c5 e3d4 c5d4 b1d2 d8b6 g4c8 a8c8 d1b3 b6c6 d2f3 e7c5 a1c1 b7b6 f1e1 c6e6 b3a4 a7a5 a2a3 e6f5 a4b3 f8d8 h2h3 h7h6 e5e6 f7e6 e1e5 f5f7 c1e1 d8d6 b3d1 b6b5 d1e2 d6c6 e5e6 c6e6 e2e6 f7e6 e1e6 g8f7 e6a6 a5a4 g1f1 f7e7 f1e2 e7d7 f3e5 d7c7 a6g6 c8e8 f2f4 e8e7 e2f3 c5d6 g2g4 b5b4 a3b4 d6b4 g6a6 c7b7 a6a4 b4c5 a4a5 b7b6 a5a8 c5d6 a8d8 b6c7 d8a8 g7g5 a8a7 c7b6 a7e7 d6e7 f4f5 b6c5 e5d7 c5d6 d7b6 d6e5 b6d7 e5d6 d7b6 d6e5 b6d7 e5d6 d7b6 d6e5 b6d7 e5d6 d7b6 d6e5 b6d7 e5d6
6,Win,48x5_20260617_lr1e-9-200,0-1,48x5_20260617_lr1e-9,48x5_20260617_lr1e-9-200,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 c7c6 b5e2 d7d5 e4e5 g8e7 c2c3 e7f5 d2d3 f8e7 e2g4 e8g8 c3d4 f5d4 c1e3 c6c5 e3d4 c5d4 b1d2 d8b6 g4c8 a8c8 d1b3 b6e6 d2f3 c8c7 f1e1 f8c8 f3d4 e6b6 b3d5 c8d8 d5e4 d8d4 e4e2 c7d7 a1d1 b6e6 a2a3 g7g6 e2e3 e7d8 h2h3 d8b6 b2b4 g8g7 e3e2 d7d5 g2g3 e6h3 e2f3 h3e6 g1g2 b6d8 e1e4 d8b6 e4d4 d5d4 f3b7 e6e5 d1d2 h7h5 b7f3 h5h4 d2e2 e5f6 f3f6 g7f6 g3h4 d4h4 e2e4 h4h5 a3a4 h5d5 a4a5 b6d4 g2f3 g6g5 f3e2 f6f5 e4e7 f7f6 e7b7 g5g4 e2f1 f5f4 f1g2 f6f5 b7h7 d5b5 h7d7 b5b4 d7d5 b4a4 g2f1 a7a6 f1g2 f4g5 g2f1 g5f4 f1g2 d4c3 g2f1 a4a1 f1g2 a1a2 g2f1 a2a1 f1g2 a1a2 g2f1 a2a1 f1g2 a1a5 d5d8 a5a2 g2f1 f4f3 f1g1 a2a1 g1h2 c3e5
7,Win,48x5_20260617_lr1e-9-200,1-0,48x5_20260617_lr1e-9-200,48x5_20260617_lr1e-9,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 c7c6 b5e2 d7d5 e4e5 g8e7 c2c3 e7f5 d2d3 f8e7 e2g4 e8g8 c3d4 f5d4 c1e3 d4e6 d3d4 f7f5 e5f6 e7f6 b1c3 e6c7 g4c8 a8c8 d1g4 d8e8 f1e1 e8f7 a1c1 c8e8 h2h3 c7e6 c3e2 h7h5 g4g3 h5h4 g3g4 f6d8 e1f1 d8c7 g4h4 f7g6 h4g4 g6g4 h3g4 g8f7 f2f4 g7g6 g1f2 f8h8 f2f3 c7b6 f1h1 b6c7 b2b3 c7d6 g2g3 a7a5 f4f5 e6c7 e3f4 c7b5 h1h8 e8h8 a2a4 g6f5 a4b5 f5g4 f3g4 d6f4 g3f4 c6b5 c1c5 a5a4 c5b5 a4b3 e2c3 h8h1 g4f5 h1h3 c3d5 h3h5 f5e4 f7e6 b5b6 e6d7 f4f5 h5h4 e4e5 b3b2 b6b2 d7e8 b2b7 h4h1 f5f6 h1e1 e5d6 e8f8 d5f4 f8g8 d4d5 e1f1 d6e5 f1e1 e5d6 e1f1 d6e5 f1e1 e5f5 e1d1 f5e6 d1e1 e6f5 e1d1 f5e5 d1e1 e5f5 e1d1 b7g7 g8f8 f5e6 d1e1 e6f5 e1d1 f5e6 d1e1 e6d7 e1d1 f4e6
8,Loss,48x5_20260617_lr1e-9,1-0,48x5_20260617_lr1e-9,48x5_20260617_lr1e-9-200,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 c7c6 b5e2 d7d5 e4e5 g8e7 d2d3 e7g6 f2f4 g6h4 b1d2 h4f5 d2f3 h7h5 c2c3 d4c3 b2c3 f8c5 d3d4 c5e7 e2d3 g7g6 a2a4 e8g8 a4a5 c6c5 d4c5 e7c5 g1h1 f5e3 c1e3 c5e3 f3d4 c8g4 d1b3 e3d4 c3d4 a8b8 f4f5 g6f5 d3f5 d8g5 f5g4 h5g4 b3d5 g4g3 f1f3 b8d8 d5e4 g3h2 f3h3 g5g6 e4f4 g8g7 h3g3 f8h8 a1f1 h8h6 g3g6 h6g6 f4f7 g7h6 f7f4 h6g7 f4f7 g7h6 f7f4 h6g7 f4f7 g7h6 e5e6 d8g8 e6e7 b7b6 f7f4 h6h7 f4e4 h7h6 e4f4 h6h7 f4e4 h7h6 e4f4 h6h7 f4e4 b6a5 e7e8n h7h8 e4e5 h8h7 f1f7 h7h6 e5e3 g6g5 f7f6 g8g6 e3h3 g5h5 h3e3 h5g5 f6f4 g5h5 f4f8 h6h7 e3e7 h7h6 f8h8
9,Win,48x5_20260617_lr1e-9-200,1-0,48x5_20260617_lr1e-9-200,48x5_20260617_lr1e-9,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 c7c6 b5e2 d7d5 e4e5 c8f5 d2d3 g8e7 b1d2 e7g6 f2f4 h7h5 d2b3 d8b6 e2h5 a7a5 g2g4 f5d7 f4f5 g6e5 c1f4 f8d6 d1e2 e8c8 f4e5 d6e5 e2e5 f7f6 e5g3 a5a4 b3d2 b6b2 d2f3 b2c2 f3d4 c2c5 g3f2 c5d6 a1b1 c6c5 d4b5 d7b5 b1b5 b7b6 d3d4 c5c4 f1b1 c8c7 f2f3 d6c6 h5f7 c4c3 f7d5 d8d5 b5d5 c3c2 b1c1 h8d8 f3e4 c6d5 e4c2 c7b7 c2c7 b7a6 c7c4 b6b5 c4c6 a6a5 c6c7 a5a6 c1c6 d5c6 c7c6 a6a5 c6c7 a5a6 c7d8 b5b4 d8d7 a4a3 d7c6 a6a5 d4d5 b4b3 c6c5 a5a4 c5c4 a4a5 c4c5 a5a4 c5c4 a4a5 c4c5 a5a4 c5d4 a4a5 d4c5 a5a4 c5c4 a4a5 c4b3 a5a6 d5d6 g7g6 d6d7 g6f5 b3c4 a6b7 d7d8q f5g4 d8c7 b7a8 c4a6
10,Loss,48x5_20260617_lr1e-9,1-0,48x5_20260617_lr1e-9,48x5_20260617_lr1e-9-200,e2e4 e7e5 g1f3 b8c6 f1b5 c6d4 f3d4 e5d4 e1g1 c7c6 b5e2 d7d5 e4e5 g8e7 d2d3 e7g6 f2f4 g6h4 c2c3 d4c3 b2c3 f8e7 d3d4 c8f5 g2g3 h4g6 g3g4 f5e4 b1d2 f7f5 d2e4 f5e4 f4f5 g6h4 a1b1 b7b6 f5f6 g7f6 e5f6 e7f6 g4g5 f6e7 e2h5 h4g6 c3c4 h8f8 f1f8 e8f8 d1g4 f8g7 h2h4 d8d6 c4d5 d6d5 c1e3 a8f8 b1c1 e7d6 g4d7 f8f7 d7c6 d5e6 d4d5 e6h3 e3d4 d6e5 d4e5 g6e5 c6c3 h3h4 c3e5 g7g8 h5f7 g8f7 c1c7 f7f8 e5g7 f8e8 g7e7
