step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
0,Bishop's Opening,35,0.294434,0.153781,0.352661,0.054265,360.440803,45.741233
0,Bishop's Opening: Berlin Defense,28,0.349653,0.143821,0.308934,0.012975,231.40082,34.812974
0,Bogo-Indian Defense: Exchange Variation,18,0.364392,0.120445,0.347724,0.024347,73.462774,20.703641
0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.282646,0.100614,0.301482,0.012573,108.847788,22.691327
0,Catalan Opening: Closed,24,0.506594,0.162528,0.379432,0.059839,74.956025,27.006645
0,Grünfeld Defense,10,0.516667,0.172748,0.346147,0.059713,58.266073,14.212191
0,Grünfeld Defense: Exchange Variation,10,0.616667,0.159415,0.436404,0.082957,39.845393,10.904629
0,Grünfeld Defense: Three Knights Variation,30,0.44429,0.204498,0.330739,0.060153,246.02126,42.197992
0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.359452,0.178889,0.377614,0.068151,190.525025,25.488274
0,Indian Defense: Anti-Nimzo-Indian,22,0.446562,0.136371,0.274575,0.03745,74.963416,36.274228
0,Indian Defense: London System,35,0.389753,0.149552,0.350224,0.05641,237.81787,45.473879
0,Italian Game: Classical Variation,18,0.367308,0.159613,0.364866,0.031454,138.060314,20.864884
0,"Italian Game: Classical Variation, Albin Gambit",16,0.43126,0.15649,0.380332,0.028566,85.032792,17.306238
0,"Italian Game: Classical Variation, Center Attack",16,0.450244,0.15634,0.428088,0.023157,82.528122,14.92749
0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.493687,0.142829,0.346306,0.017855,132.93473,39.841182
0,"Italian Game: Giuoco Pianissimo, Normal",27,0.473358,0.127018,0.349352,0.016064,124.406089,30.233633
0,Italian Game: Giuoco Piano,22,0.422432,0.144204,0.369313,0.020547,123.649576,23.673696
0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.430309,0.189875,0.444001,0.080385,160.25867,30.973696
0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.383451,0.169124,0.299176,0.015923,220.561239,40.095809
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.23365,0.101212,0.323835,0.020155,166.527766,27.153871
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.330815,0.140646,0.372124,0.029836,160.787616,24.647432
0,King's Indian Defense,10,0.422754,0.151777,0.405792,0.040393,60.120634,10.220564
0,King's Indian Defense: Fianchetto Variation,22,0.339892,0.152196,0.441064,0.108347,145.816829,26.620346
0,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.400905,0.146112,0.291299,0.054513,85.566624,25.066807
0,King's Indian Defense: Four Pawns Attack,9,0.480423,0.143024,0.459675,0.05215,41.385838,8.295772
0,King's Indian Defense: Normal Variation,10,0.472063,0.14341,0.400227,0.041976,42.995276,10.360807
0,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.505228,0.161984,0.414267,0.048594,68.481766,18.514729
0,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.560054,0.132308,0.43958,0.049356,68.617039,22.951681
