step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
0,Bishop's Opening,35,0.294434,0.153781,0.352661,0.054265,360.440803,45.741233
0,Bishop's Opening: Berlin Defense,28,0.352386,0.146091,0.308934,0.012975,231.345803,34.812974
0,Bogo-Indian Defense: Exchange Variation,18,0.362335,0.121864,0.347724,0.024347,88.587618,20.703641
0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.281656,0.101609,0.301482,0.012573,123.892589,22.691327
0,Catalan Opening: Closed,24,0.508431,0.162413,0.379432,0.059839,74.697916,27.006645
0,Grünfeld Defense,10,0.516667,0.172748,0.346147,0.059713,58.266073,14.212191
0,Grünfeld Defense: Exchange Variation,10,0.616667,0.159415,0.436404,0.082957,39.845393,10.904629
0,Grünfeld Defense: Three Knights Variation,30,0.44429,0.204498,0.330739,0.060153,246.02126,42.197992
0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.359452,0.178889,0.377614,0.068151,190.525025,25.488274
0,Indian Defense: Anti-Nimzo-Indian,22,0.443075,0.131536,0.274575,0.03745,74.842357,36.274228
0,Indian Defense: London System,35,0.377271,0.141313,0.350224,0.05641,222.909548,45.473879
0,Italian Game: Classical Variation,18,0.364823,0.162142,0.364866,0.031454,138.233889,20.864884
0,"Italian Game: Classical Variation, Albin Gambit",16,0.430417,0.161767,0.380332,0.028566,85.341292,17.306238
0,"Italian Game: Classical Variation, Center Attack",16,0.446054,0.162966,0.428088,0.023157,83.314511,14.92749
0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.493029,0.145251,0.346306,0.017855,133.570951,39.841182
0,"Italian Game: Giuoco Pianissimo, Normal",27,0.475705,0.129174,0.349352,0.016064,124.701282,30.233633
0,Italian Game: Giuoco Piano,22,0.423969,0.146625,0.369313,0.020547,124.150177,23.673696
0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.430609,0.193059,0.444001,0.080385,160.582719,30.973696
0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.380842,0.165058,0.299176,0.015923,206.453154,40.095809
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.233991,0.104964,0.323835,0.020155,166.851816,27.153871
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.331156,0.144331,0.372124,0.029836,161.111666,24.647432
0,King's Indian Defense,10,0.421667,0.15214,0.405792,0.040393,60.163193,10.220564
0,King's Indian Defense: Fianchetto Variation,22,0.342895,0.155494,0.441064,0.108347,145.842267,26.620346
0,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.405035,0.150139,0.291299,0.054513,85.592063,25.066807
0,King's Indian Defense: Four Pawns Attack,9,0.480423,0.143024,0.459675,0.05215,41.385838,8.295772
0,King's Indian Defense: Normal Variation,10,0.472063,0.14341,0.400227,0.041976,42.995276,10.360807
0,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.509846,0.163238,0.414267,0.048594,67.664297,18.514729
0,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.563453,0.134809,0.43958,0.049356,68.506764,22.951681
0,King's Indian Defense: Smyslov Variation,21,0.438487,0.140289,0.407008,0.054143,120.244796,22.122515
0,London System,29,0.351075,0.192759,0.341028,0.051066,252.579892,39.710726
0,"London System, with Bd3",13,0.318473,0.161892,0.399965,0.07114,116.323177,14.833596
0,"London System, with Be2",13,0.424627,0.156271,0.383035,0.07741,80.224153,15.926746
0,Neo-Grünfeld Defense: with Nf3,24,0.396506,0.188507,0.320509,0.051207,132.080866,33.330833
0,Nimzo-Indian Defense,21,0.416163,0.141985,0.272688,0.013207,90.33323,28.684242
