step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
0,Bishop's Opening,35,0.296142,0.123324,0.352661,0.054265,294.882972,45.741233
0,Bishop's Opening: Berlin Defense,28,0.312084,0.084501,0.308934,0.012975,168.524393,34.812974
0,Bogo-Indian Defense: Exchange Variation,18,0.419846,0.049718,0.347724,0.024347,19.803417,20.703641
0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.287067,0.082287,0.301482,0.012573,93.436407,22.691327
0,Catalan Opening: Closed,24,0.345128,0.042857,0.379432,0.059839,77.426363,27.006645
0,Grünfeld Defense,10,0.393483,0.157942,0.346147,0.059713,61.25636,14.212191
0,Grünfeld Defense: Exchange Variation,10,0.462531,0.117494,0.436404,0.082957,26.468007,10.904629
0,Grünfeld Defense: Three Knights Variation,30,0.294589,0.116165,0.330739,0.060153,238.089784,42.197992
0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.226022,0.07147,0.377614,0.068151,131.965745,25.488274
0,Indian Defense: Anti-Nimzo-Indian,22,0.301529,0.062437,0.274575,0.03745,95.789757,36.274228
0,Indian Defense: London System,35,0.339433,0.061898,0.350224,0.05641,79.43848,45.473879
0,Italian Game: Classical Variation,18,0.397963,0.101376,0.364866,0.031454,85.225374,20.864884
0,"Italian Game: Classical Variation, Albin Gambit",16,0.302795,0.095485,0.380332,0.028566,104.449461,17.306238
0,"Italian Game: Classical Variation, Center Attack",16,0.477061,0.132185,0.428088,0.023157,80.548437,14.92749
0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.328152,0.078755,0.346306,0.017855,175.179151,39.841182
0,"Italian Game: Giuoco Pianissimo, Normal",27,0.336967,0.05689,0.349352,0.016064,113.893578,30.233633
0,Italian Game: Giuoco Piano,22,0.349475,0.112666,0.369313,0.020547,142.563788,23.673696
0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.447706,0.162848,0.444001,0.080385,143.643583,30.973696
0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.287607,0.070954,0.299176,0.015923,146.14856,40.095809
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.236591,0.085241,0.323835,0.020155,198.893203,27.153871
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.372954,0.138484,0.372124,0.029836,143.631161,24.647432
0,King's Indian Defense,10,0.352366,0.074359,0.405792,0.040393,30.321908,10.220564
0,King's Indian Defense: Fianchetto Variation,22,0.292138,0.06143,0.441064,0.108347,126.884113,26.620346
0,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.252422,0.073983,0.291299,0.054513,121.162312,25.066807
0,King's Indian Defense: Four Pawns Attack,9,0.382517,0.07355,0.459675,0.05215,26.774672,8.295772
