step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll
0,Bishop's Opening,35,0.25257,0.113827,0.352661,0.054265,9.430404
0,Bishop's Opening: Berlin Defense,28,0.333059,0.086165,0.308934,0.012975,5.377471
0,Bogo-Indian Defense: Exchange Variation,18,0.378481,0.070733,0.347724,0.024347,1.221995
0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.317653,0.068918,0.301482,0.012573,4.070019
0,Catalan Opening: Closed,24,0.45434,0.046721,0.379432,0.059839,0.939336
0,Grünfeld Defense,10,0.365067,0.111292,0.346147,0.059713,6.115813
0,Grünfeld Defense: Exchange Variation,10,0.478704,0.096607,0.436404,0.082957,2.565379
0,Grünfeld Defense: Three Knights Variation,30,0.35184,0.15065,0.330739,0.060153,7.806226
0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.327486,0.130973,0.377614,0.068151,6.118141
0,Indian Defense: Anti-Nimzo-Indian,22,0.384044,0.066541,0.274575,0.03745,2.637919
0,Indian Defense: London System,35,0.330444,0.095014,0.350224,0.05641,5.045868
0,Italian Game: Classical Variation,18,0.44139,0.147404,0.364866,0.031454,4.737274
0,"Italian Game: Classical Variation, Albin Gambit",16,0.455271,0.112212,0.380332,0.028566,3.088428
0,"Italian Game: Classical Variation, Center Attack",16,0.509527,0.126844,0.428088,0.023157,1.012862
0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.464702,0.103766,0.346306,0.017855,2.385548
0,"Italian Game: Giuoco Pianissimo, Normal",27,0.379158,0.085118,0.349352,0.016064,2.99307
0,Italian Game: Giuoco Piano,22,0.439941,0.081561,0.369313,0.020547,1.092225
0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.533589,0.158774,0.444001,0.080385,4.166961
0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.302663,0.074343,0.299176,0.015923,3.001598
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.4662,0.143002,0.323835,0.020155,4.739138
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.337412,0.117709,0.372124,0.029836,6.522741
0,King's Indian Defense,10,0.23619,0.099693,0.405792,0.040393,9.704505
0,King's Indian Defense: Fianchetto Variation,22,0.358451,0.071181,0.441064,0.108347,3.478956
0,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.344942,0.089636,0.291299,0.054513,4.414587
0,King's Indian Defense: Four Pawns Attack,9,0.317989,0.099414,0.459675,0.05215,6.766315
0,King's Indian Defense: Normal Variation,10,0.329048,0.090573,0.400227,0.041976,6.174413
0,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.371357,0.128235,0.414267,0.048594,5.762152
0,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.381274,0.124028,0.43958,0.049356,5.33346
0,King's Indian Defense: Smyslov Variation,21,0.22439,0.082568,0.407008,0.054143,8.618332
0,London System,29,0.337211,0.151462,0.341028,0.051066,8.092361
0,"London System, with Bd3",13,0.273115,0.09497,0.399965,0.07114,8.918851
0,"London System, with Be2",13,0.32488,0.081474,0.383035,0.07741,6.252661
0,Neo-Grünfeld Defense: with Nf3,24,0.353053,0.166065,0.320509,0.051207,8.165079
0,Nimzo-Indian Defense,21,0.331116,0.05735,0.272688,0.013207,2.823893
0,Nimzo-Indian Defense: Classical Variation,10,0.382208,0.054397,0.336314,0.019322,2.741845
