step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll
0,Bishop's Opening,35,0.269596,0.135647,0.352661,0.054265,9.446697
0,Bishop's Opening: Berlin Defense,28,0.35092,0.111884,0.308934,0.012975,6.50675
0,Bogo-Indian Defense: Exchange Variation,18,0.300449,0.048671,0.347724,0.024347,3.166334
0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.272054,0.075229,0.301482,0.012573,6.86478
0,Catalan Opening: Closed,24,0.427156,0.058052,0.379432,0.059839,1.724839
0,Grünfeld Defense,10,0.362222,0.150227,0.346147,0.059713,7.801263
0,Grünfeld Defense: Exchange Variation,10,0.462222,0.119783,0.436404,0.082957,4.259839
0,Grünfeld Defense: Three Knights Variation,30,0.330627,0.163903,0.330739,0.060153,8.973042
0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.297721,0.151761,0.377614,0.068151,9.972238
0,Indian Defense: Anti-Nimzo-Indian,22,0.365805,0.071619,0.274575,0.03745,2.743893
0,Indian Defense: London System,35,0.329524,0.112527,0.350224,0.05641,6.441363
0,Italian Game: Classical Variation,18,0.432323,0.168665,0.364866,0.031454,4.843914
0,"Italian Game: Classical Variation, Albin Gambit",16,0.436364,0.129601,0.380332,0.028566,3.210671
0,"Italian Game: Classical Variation, Center Attack",16,0.509091,0.144973,0.428088,0.023157,1.057326
0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.45225,0.136436,0.346306,0.017855,3.458002
0,"Italian Game: Giuoco Pianissimo, Normal",27,0.467469,0.108817,0.349352,0.016064,3.404415
0,Italian Game: Giuoco Piano,22,0.443681,0.090503,0.369313,0.020547,1.810428
0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.499556,0.165792,0.444001,0.080385,4.917493
0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.270079,0.07242,0.299176,0.015923,6.193166
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.403857,0.123175,0.323835,0.020155,5.618748
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.322406,0.100879,0.372124,0.029836,5.807072
0,King's Indian Defense,10,0.222222,0.116049,0.405792,0.040393,11.39377
0,King's Indian Defense: Fianchetto Variation,22,0.314904,0.107917,0.441064,0.108347,6.552665
0,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.30269,0.120467,0.291299,0.054513,8.515837
0,King's Indian Defense: Four Pawns Attack,9,0.296296,0.11797,0.459675,0.05215,8.656364
0,King's Indian Defense: Normal Variation,10,0.327778,0.113858,0.400227,0.041976,7.837728
0,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.331909,0.159157,0.414267,0.048594,8.609215
0,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.3362,0.132502,0.43958,0.049356,8.099896
0,King's Indian Defense: Smyslov Variation,21,0.189255,0.09979,0.407008,0.054143,11.765204
0,London System,29,0.357088,0.152778,0.341028,0.051066,8.03265
0,"London System, with Bd3",13,0.273504,0.11133,0.399965,0.07114,8.983978
0,"London System, with Be2",13,0.335043,0.098497,0.383035,0.07741,6.290994
0,Neo-Grünfeld Defense: with Nf3,24,0.323006,0.178933,0.320509,0.051207,10.231883
0,Nimzo-Indian Defense,21,0.286887,0.062602,0.272688,0.013207,6.022074
0,Nimzo-Indian Defense: Classical Variation,10,0.306301,0.056538,0.336314,0.019322,4.584643
0,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.361857,0.079912,0.339277,0.020024,2.892983
0,Nimzo-Indian Defense: Three Knights Variation,30,0.333414,0.115101,0.326212,0.067083,7.274764
0,Petrov's Defense: Italian Variation,20,0.416111,0.162957,0.314097,0.012347,5.315214
0,Philidor Defense,51,0.325173,0.156005,0.3688,0.063277,9.372501
0,Philidor Defense: Exchange Variation,20,0.442696,0.167815,0.372259,0.040539,6.826924
0,Queen's Gambit Accepted,33,0.352548,0.143719,0.340622,0.036558,8.182815
0,Queen's Gambit Accepted: Old Variation,34,0.377925,0.133232,0.377624,0.054529,6.948528
0,Queen's Gambit Declined,38,0.345279,0.096095,0.336386,0.029532,5.956553
0,Queen's Gambit Declined: Harrwitz Attack,34,0.393935,0.057365,0.334187,0.015322,1.613568
0,Queen's Gambit Declined: Modern Variation,19,0.268507,0.056478,0.329033,0.019593,5.695751
0,Queen's Gambit Declined: Ragozin Defense,39,0.365795,0.068642,0.329671,0.017334,3.668746
0,Queen's Gambit Declined: Three Knights Variation,34,0.292331,0.056763,0.359526,0.014769,4.267983
0,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.25477,0.110233,0.303791,0.005946,10.546576
0,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.407605,0.059023,0.263161,0.008344,2.214764
0,Queen's Pawn Game: Accelerated London System,98,0.284976,0.105524,0.320097,0.018738,7.918516
0,Queen's Pawn Game: London System,35,0.306692,0.092893,0.323223,0.028665,6.941769
0,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",10,0.377778,0.138148,0.373112,0.028875,6.174836
0,Ruy Lopez: Exchange Variation,9,0.522222,0.16513,0.467343,0.036089,4.621387
0,"Ruy Lopez: Exchange Variation, Lutikov Variation",10,0.381111,0.150051,0.401795,0.027337,6.221039
0,"Ruy Lopez: Exchange Variation, Normal Variation",9,0.559259,0.137421,0.473418,0.034082,2.696713
0,Ruy Lopez: Morphy Defense,9,0.695062,0.10014,0.497945,0.022661,0.593212
0,"Ruy Lopez: Morphy Defense, Anderssen Variation",9,0.67037,0.111907,0.453968,0.026772,0.649971
0,"Ruy Lopez: Morphy Defense, Caro Variation",10,0.57,0.169162,0.460445,0.07087,4.159249
0,Ruy Lopez: Steinitz Defense,17,0.370172,0.164481,0.371974,0.05218,8.015315
0,Semi-Slav Defense,14,0.415362,0.123783,0.367238,0.0222,5.73398
0,Semi-Slav Defense: Accelerated Move Order,17,0.387038,0.140705,0.33232,0.02061,6.049065
0,Semi-Slav Defense: Main Line,17,0.417316,0.118817,0.323265,0.020431,5.861228
