step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
0,Bishop's Opening,35,0.271313,0.129017,0.352661,0.054265,314.141601,45.741233
0,Bishop's Opening: Berlin Defense,28,0.324512,0.09881,0.308934,0.012975,182.916888,34.812974
0,Bogo-Indian Defense: Exchange Variation,18,0.326513,0.047437,0.347724,0.024347,24.938263,20.703641
0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.318618,0.075339,0.301482,0.012573,74.224589,22.691327
0,Catalan Opening: Closed,24,0.42389,0.027508,0.379432,0.059839,23.440176,27.006645
0,Grünfeld Defense,10,0.375556,0.13802,0.346147,0.059713,77.031804,14.212191
0,Grünfeld Defense: Exchange Variation,10,0.466465,0.103208,0.436404,0.082957,41.777408,10.904629
0,Grünfeld Defense: Three Knights Variation,30,0.331255,0.158769,0.330739,0.060153,268.547717,42.197992
0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.310169,0.139566,0.377614,0.068151,161.997691,25.488274
0,Indian Defense: Anti-Nimzo-Indian,22,0.353853,0.049487,0.274575,0.03745,59.295655,36.274228
0,Indian Defense: London System,35,0.307266,0.086564,0.350224,0.05641,178.517849,45.473879
0,Italian Game: Classical Variation,18,0.424787,0.137405,0.364866,0.031454,85.645551,20.864884
0,"Italian Game: Classical Variation, Albin Gambit",16,0.430604,0.093595,0.380332,0.028566,49.592647,17.306238
0,"Italian Game: Classical Variation, Center Attack",16,0.496173,0.11408,0.428088,0.023157,15.811557,14.92749
0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.448285,0.083687,0.346306,0.017855,83.19027,39.841182
0,"Italian Game: Giuoco Pianissimo, Normal",27,0.379944,0.061192,0.349352,0.016064,78.711351,30.233633
0,Italian Game: Giuoco Piano,22,0.437011,0.06438,0.369313,0.020547,22.935176,23.673696
0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.502419,0.144837,0.444001,0.080385,104.92938,30.973696
0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.311455,0.063284,0.299176,0.015923,92.330395,40.095809
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.399948,0.094732,0.323835,0.020155,105.809303,27.153871
0,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.332823,0.076794,0.372124,0.029836,109.054497,24.647432
0,King's Indian Defense,10,0.231111,0.105896,0.405792,0.040393,113.062236,10.220564
0,King's Indian Defense: Fianchetto Variation,22,0.34301,0.098771,0.441064,0.108347,110.755065,26.620346
0,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.314172,0.106988,0.291299,0.054513,104.447981,25.066807
0,King's Indian Defense: Four Pawns Attack,9,0.307295,0.105536,0.459675,0.05215,77.009332,8.295772
0,King's Indian Defense: Normal Variation,10,0.325657,0.099009,0.400227,0.041976,77.743301,10.360807
0,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.353094,0.146566,0.414267,0.048594,136.966156,18.514729
0,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.3563,0.125717,0.43958,0.049356,161.700385,22.951681
0,King's Indian Defense: Smyslov Variation,21,0.208449,0.093826,0.407008,0.054143,214.47752,22.122515
0,London System,29,0.355304,0.133083,0.341028,0.051066,200.612535,39.710726
0,"London System, with Bd3",13,0.270773,0.088303,0.399965,0.07114,115.9418,14.833596
0,"London System, with Be2",13,0.322055,0.074995,0.383035,0.07741,81.297663,15.926746
0,Neo-Grünfeld Defense: with Nf3,24,0.328441,0.170553,0.320509,0.051207,244.400982,33.330833
0,Nimzo-Indian Defense,21,0.33346,0.027333,0.272688,0.013207,26.47604,28.684242
0,Nimzo-Indian Defense: Classical Variation,10,0.364277,0.030335,0.336314,0.019322,27.183192,11.678434
0,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.39761,0.067902,0.339277,0.020024,27.000871,11.632695
0,Nimzo-Indian Defense: Three Knights Variation,30,0.333422,0.0858,0.326212,0.067083,137.000125,48.718731
0,Petrov's Defense: Italian Variation,20,0.387828,0.187583,0.314097,0.012347,171.808363,24.594656
0,Philidor Defense,51,0.331174,0.156267,0.3688,0.063277,460.953027,67.006097
0,Philidor Defense: Exchange Variation,20,0.449428,0.171977,0.372259,0.040539,135.941087,23.163618
0,Queen's Gambit Accepted,33,0.321893,0.116334,0.340622,0.036558,239.726389,40.516912
0,Queen's Gambit Accepted: Old Variation,34,0.35993,0.117213,0.377624,0.054529,221.200095,40.351444
0,Queen's Gambit Declined,38,0.327959,0.066634,0.336386,0.029532,193.989132,48.541262
0,Queen's Gambit Declined: Harrwitz Attack,34,0.35563,0.020649,0.334187,0.015322,38.649602,39.44284
0,Queen's Gambit Declined: Modern Variation,19,0.281554,0.029674,0.329033,0.019593,89.876907,22.827387
0,Queen's Gambit Declined: Ragozin Defense,39,0.329258,0.022045,0.329671,0.017334,48.180121,46.597633
