network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
48x5_20260605_lr1e-9,0,Bishop's Opening,35,0.308532,0.11606,0.352661,0.054265,245.867675,45.741233
48x5_20260605_lr1e-9,0,Bishop's Opening: Berlin Defense,28,0.335906,0.082531,0.308934,0.012975,149.546413,34.812974
48x5_20260605_lr1e-9,0,Bogo-Indian Defense: Exchange Variation,18,0.430005,0.053681,0.347724,0.024347,18.127319,20.703641
48x5_20260605_lr1e-9,0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.295625,0.075455,0.301482,0.012573,91.827952,22.691327
48x5_20260605_lr1e-9,0,Catalan Opening: Closed,24,0.3437,0.033146,0.379432,0.059839,76.386868,27.006645
48x5_20260605_lr1e-9,0,Grünfeld Defense,10,0.395105,0.143103,0.346147,0.059713,45.719082,14.212191
48x5_20260605_lr1e-9,0,Grünfeld Defense: Exchange Variation,10,0.459324,0.102034,0.436404,0.082957,26.063507,10.904629
48x5_20260605_lr1e-9,0,Grünfeld Defense: Three Knights Variation,30,0.301077,0.083498,0.330739,0.060153,189.539446,42.197992
48x5_20260605_lr1e-9,0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.252684,0.051053,0.377614,0.068151,97.564211,25.488274
48x5_20260605_lr1e-9,0,Indian Defense: Anti-Nimzo-Indian,22,0.329341,0.055115,0.274575,0.03745,77.289914,36.274228
48x5_20260605_lr1e-9,0,Indian Defense: London System,35,0.332591,0.068963,0.350224,0.05641,81.436718,45.473879
48x5_20260605_lr1e-9,0,Italian Game: Classical Variation,18,0.380315,0.101125,0.364866,0.031454,71.117168,20.864884
48x5_20260605_lr1e-9,0,"Italian Game: Classical Variation, Albin Gambit",16,0.323248,0.087259,0.380332,0.028566,87.102323,17.306238
48x5_20260605_lr1e-9,0,"Italian Game: Classical Variation, Center Attack",16,0.468377,0.118495,0.428088,0.023157,65.538083,14.92749
48x5_20260605_lr1e-9,0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.327704,0.08401,0.346306,0.017855,146.010102,39.841182
48x5_20260605_lr1e-9,0,"Italian Game: Giuoco Pianissimo, Normal",27,0.319646,0.065557,0.349352,0.016064,116.363085,30.233633
48x5_20260605_lr1e-9,0,Italian Game: Giuoco Piano,22,0.352833,0.106839,0.369313,0.020547,126.09747,23.673696
48x5_20260605_lr1e-9,0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.436511,0.15502,0.444001,0.080385,83.980308,30.973696
