network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
48x5_20260617_lr1e-9,0,Bishop's Opening,35,0.305531,0.118244,0.352661,0.054265,262.08108,45.741233
48x5_20260617_lr1e-9,0,Bishop's Opening: Berlin Defense,28,0.333375,0.083288,0.308934,0.012975,150.24934,34.812974
48x5_20260617_lr1e-9,0,Bogo-Indian Defense: Exchange Variation,18,0.420454,0.058085,0.347724,0.024347,19.138954,20.703641
48x5_20260617_lr1e-9,0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.284357,0.072082,0.301482,0.012573,92.65112,22.691327
48x5_20260617_lr1e-9,0,Catalan Opening: Closed,24,0.354609,0.035874,0.379432,0.059839,75.835548,27.006645
48x5_20260617_lr1e-9,0,Grünfeld Defense,10,0.379148,0.136338,0.346147,0.059713,45.967544,14.212191
48x5_20260617_lr1e-9,0,Grünfeld Defense: Exchange Variation,10,0.442905,0.097148,0.436404,0.082957,26.354528,10.904629
48x5_20260617_lr1e-9,0,Grünfeld Defense: Three Knights Variation,30,0.316021,0.093304,0.330739,0.060153,143.727118,42.197992
48x5_20260617_lr1e-9,0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.253856,0.050254,0.377614,0.068151,82.104386,25.488274
48x5_20260617_lr1e-9,0,Indian Defense: Anti-Nimzo-Indian,22,0.312505,0.046558,0.274575,0.03745,78.075021,36.274228
48x5_20260617_lr1e-9,0,Indian Defense: London System,35,0.329749,0.066695,0.350224,0.05641,96.814212,45.473879
48x5_20260617_lr1e-9,0,Italian Game: Classical Variation,18,0.396306,0.093599,0.364866,0.031454,69.622995,20.864884
48x5_20260617_lr1e-9,0,"Italian Game: Classical Variation, Albin Gambit",16,0.345799,0.095093,0.380332,0.028566,101.952922,17.306238
48x5_20260617_lr1e-9,0,"Italian Game: Classical Variation, Center Attack",16,0.486791,0.121816,0.428088,0.023157,64.649758,14.92749
48x5_20260617_lr1e-9,0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.328159,0.079927,0.346306,0.017855,160.561307,39.841182
48x5_20260617_lr1e-9,0,"Italian Game: Giuoco Pianissimo, Normal",27,0.318642,0.052142,0.349352,0.016064,115.469232,30.233633
48x5_20260617_lr1e-9,0,Italian Game: Giuoco Piano,22,0.335646,0.108786,0.369313,0.020547,143.44433,23.673696
48x5_20260617_lr1e-9,0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.436196,0.147375,0.444001,0.080385,83.828352,30.973696
48x5_20260617_lr1e-9,0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.297499,0.055671,0.299176,0.015923,125.400182,40.095809
