network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
48x5_20260611_lr1e-9,0,Bishop's Opening,35,0.307263,0.118232,0.352661,0.054265,261.88041,45.741233
48x5_20260611_lr1e-9,0,Bishop's Opening: Berlin Defense,28,0.33753,0.077799,0.308934,0.012975,149.027289,34.812974
48x5_20260611_lr1e-9,0,Bogo-Indian Defense: Exchange Variation,18,0.427413,0.053912,0.347724,0.024347,18.268397,20.703641
48x5_20260611_lr1e-9,0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.293033,0.074989,0.301482,0.012573,91.969031,22.691327
48x5_20260611_lr1e-9,0,Catalan Opening: Closed,24,0.342877,0.032979,0.379432,0.059839,76.43132,27.006645
48x5_20260611_lr1e-9,0,Grünfeld Defense,10,0.395105,0.143103,0.346147,0.059713,45.719082,14.212191
48x5_20260611_lr1e-9,0,Grünfeld Defense: Exchange Variation,10,0.459324,0.102034,0.436404,0.082957,26.063507,10.904629
48x5_20260611_lr1e-9,0,Grünfeld Defense: Three Knights Variation,30,0.31419,0.093044,0.330739,0.060153,174.275691,42.197992
48x5_20260611_lr1e-9,0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.255302,0.051833,0.377614,0.068151,97.512244,25.488274
48x5_20260611_lr1e-9,0,Indian Defense: Anti-Nimzo-Indian,22,0.325301,0.052921,0.274575,0.03745,77.439955,36.274228
48x5_20260611_lr1e-9,0,Indian Defense: London System,35,0.323756,0.066985,0.350224,0.05641,83.225286,45.473879
48x5_20260611_lr1e-9,0,Italian Game: Classical Variation,18,0.379919,0.097472,0.364866,0.031454,70.923285,20.864884
48x5_20260611_lr1e-9,0,"Italian Game: Classical Variation, Albin Gambit",16,0.328992,0.089434,0.380332,0.028566,86.856944,17.306238
48x5_20260611_lr1e-9,0,"Italian Game: Classical Variation, Center Attack",16,0.462082,0.114973,0.428088,0.023157,65.67602,14.92749
48x5_20260611_lr1e-9,0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.323969,0.082862,0.346306,0.017855,146.205488,39.841182
48x5_20260611_lr1e-9,0,"Italian Game: Giuoco Pianissimo, Normal",27,0.320111,0.064237,0.349352,0.016064,116.252185,30.233633
48x5_20260611_lr1e-9,0,Italian Game: Giuoco Piano,22,0.350467,0.108443,0.369313,0.020547,126.339924,23.673696
