network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll
48x5_20260522_lr1e-9,0,Bishop's Opening,35,0.307263,0.118232,0.352661,0.054265,7.482297
48x5_20260522_lr1e-9,0,Bishop's Opening: Berlin Defense,28,0.33753,0.082243,0.308934,0.012975,5.334135
48x5_20260522_lr1e-9,0,Bogo-Indian Defense: Exchange Variation,18,0.432103,0.064612,0.347724,0.024347,1.034637
48x5_20260522_lr1e-9,0,Bogo-Indian Defense: Nimzowitsch Variation,18,0.297319,0.081681,0.301482,0.012573,5.109099
48x5_20260522_lr1e-9,0,Catalan Opening: Closed,24,0.358511,0.037299,0.379432,0.059839,3.152075
48x5_20260522_lr1e-9,0,Grünfeld Defense,10,0.395105,0.143103,0.346147,0.059713,4.571908
48x5_20260522_lr1e-9,0,Grünfeld Defense: Exchange Variation,10,0.458566,0.102308,0.436404,0.082957,2.608897
48x5_20260522_lr1e-9,0,Grünfeld Defense: Three Knights Variation,30,0.313819,0.093388,0.330739,0.060153,5.805067
48x5_20260522_lr1e-9,0,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.255366,0.052008,0.377614,0.068151,4.64462
48x5_20260522_lr1e-9,0,Indian Defense: Anti-Nimzo-Indian,22,0.301225,0.047888,0.274575,0.03745,4.273069
48x5_20260522_lr1e-9,0,Indian Defense: London System,35,0.334869,0.071715,0.350224,0.05641,3.215011
48x5_20260522_lr1e-9,0,Italian Game: Classical Variation,18,0.37962,0.097249,0.364866,0.031454,3.941191
48x5_20260522_lr1e-9,0,"Italian Game: Classical Variation, Albin Gambit",16,0.344577,0.090632,0.380332,0.028566,5.375263
48x5_20260522_lr1e-9,0,"Italian Game: Classical Variation, Center Attack",16,0.466854,0.118012,0.428088,0.023157,4.096184
48x5_20260522_lr1e-9,0,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.325205,0.083298,0.346306,0.017855,4.19281
48x5_20260522_lr1e-9,0,"Italian Game: Giuoco Pianissimo, Normal",27,0.32089,0.065954,0.349352,0.016064,4.307275
48x5_20260522_lr1e-9,0,Italian Game: Giuoco Piano,22,0.351302,0.110416,0.369313,0.020547,5.739534
48x5_20260522_lr1e-9,0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.437527,0.155254,0.444001,0.080385,3.357911
48x5_20260522_lr1e-9,0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.29717,0.066713,0.299176,0.015923,4.066399
48x5_20260522_lr1e-9,0,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.242238,0.077301,0.323835,0.020155,6.153626
48x5_20260522_lr1e-9,0,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.34681,0.120275,0.372124,0.029836,5.876748
48x5_20260522_lr1e-9,0,King's Indian Defense,10,0.351161,0.070518,0.405792,0.040393,3.017415
48x5_20260522_lr1e-9,0,King's Indian Defense: Fianchetto Variation,22,0.293509,0.0511,0.441064,0.108347,5.049342
48x5_20260522_lr1e-9,0,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.238847,0.053264,0.291299,0.054513,6.616246
48x5_20260522_lr1e-9,0,King's Indian Defense: Four Pawns Attack,9,0.356555,0.063312,0.459675,0.05215,3.039388
48x5_20260522_lr1e-9,0,King's Indian Defense: Normal Variation,10,0.325445,0.04032,0.400227,0.041976,2.852024
48x5_20260522_lr1e-9,0,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.355118,0.086598,0.414267,0.048594,4.001063
48x5_20260522_lr1e-9,0,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.383857,0.056623,0.43958,0.049356,2.447687
48x5_20260522_lr1e-9,0,King's Indian Defense: Smyslov Variation,21,0.32127,0.074112,0.407008,0.054143,3.074578
48x5_20260522_lr1e-9,0,London System,29,0.296781,0.073116,0.341028,0.051066,4.828156
48x5_20260522_lr1e-9,0,"London System, with Bd3",13,0.293768,0.063417,0.399965,0.07114,3.939885
48x5_20260522_lr1e-9,0,"London System, with Be2",13,0.292863,0.063745,0.383035,0.07741,3.94799
48x5_20260522_lr1e-9,0,Neo-Grünfeld Defense: with Nf3,24,0.355653,0.097457,0.320509,0.051207,4.704892
48x5_20260522_lr1e-9,0,Nimzo-Indian Defense,21,0.309197,0.028564,0.272688,0.013207,2.093277
48x5_20260522_lr1e-9,0,Nimzo-Indian Defense: Classical Variation,10,0.292468,0.044853,0.336314,0.019322,3.033699
48x5_20260522_lr1e-9,0,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.350563,0.048265,0.339277,0.020024,2.836291
48x5_20260522_lr1e-9,0,Nimzo-Indian Defense: Three Knights Variation,30,0.310869,0.083049,0.326212,0.067083,3.597738
48x5_20260522_lr1e-9,0,Petrov's Defense: Italian Variation,20,0.400275,0.136359,0.314097,0.012347,4.535024
48x5_20260522_lr1e-9,0,Philidor Defense,51,0.304653,0.098751,0.3688,0.063277,6.202622
48x5_20260522_lr1e-9,0,Philidor Defense: Exchange Variation,20,0.423594,0.078844,0.372259,0.040539,3.469771
48x5_20260522_lr1e-9,0,Queen's Gambit Accepted,33,0.310725,0.089764,0.340622,0.036558,4.913012
48x5_20260522_lr1e-9,0,Queen's Gambit Accepted: Old Variation,34,0.36858,0.089833,0.377624,0.054529,4.562857
