uci_line,opening,move_index,move,human_cond_prob,mean_lc0_prob,var_lc0_prob
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 f1d3,Queen's Pawn Game: Accelerated London System,1,d2d4,0.25279522,0.111648,0.001347
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 f1d3,Queen's Pawn Game: Accelerated London System,2,d7d5,0.41761442,0.5,0.0
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 f1d3,Queen's Pawn Game: Accelerated London System,3,c1f4,0.18299051,0.393998,0.002312
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 f1d3,Queen's Pawn Game: Accelerated London System,4,b8c6,0.2472211,0.0,0.0
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 f1d3,Queen's Pawn Game: Accelerated London System,5,e2e3,0.59506511,0.434801,0.003057
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 f1d3,Queen's Pawn Game: Accelerated London System,6,c8f5,0.30120088,0.589444,0.017175
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 f1d3,Queen's Pawn Game: Accelerated London System,7,c2c3,0.20399977,0.0,0.0
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 f1d3,Queen's Pawn Game: Accelerated London System,8,e7e6,0.41500618,0.884524,0.003616
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 f1d3,Queen's Pawn Game: Accelerated London System,9,f1d3,0.24938983,0.033772,9.4e-05
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 g1f3,Queen's Pawn Game: Accelerated London System,1,d2d4,0.25279522,0.111648,0.001347
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 g1f3,Queen's Pawn Game: Accelerated London System,2,d7d5,0.41761442,0.5,0.0
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 g1f3,Queen's Pawn Game: Accelerated London System,3,c1f4,0.18299051,0.393998,0.002312
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 g1f3,Queen's Pawn Game: Accelerated London System,4,b8c6,0.2472211,0.0,0.0
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 g1f3,Queen's Pawn Game: Accelerated London System,5,e2e3,0.59506511,0.434801,0.003057
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 g1f3,Queen's Pawn Game: Accelerated London System,6,c8f5,0.30120088,0.589444,0.017175
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 g1f3,Queen's Pawn Game: Accelerated London System,7,c2c3,0.20399977,0.0,0.0
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 g1f3,Queen's Pawn Game: Accelerated London System,8,e7e6,0.41500618,0.884524,0.003616
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 e7e6 g1f3,Queen's Pawn Game: Accelerated London System,9,g1f3,0.43253631,0.477735,0.003441
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 g8f6 f1d3,Queen's Pawn Game: Accelerated London System,1,d2d4,0.25279522,0.111648,0.001347
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 g8f6 f1d3,Queen's Pawn Game: Accelerated London System,2,d7d5,0.41761442,0.5,0.0
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 g8f6 f1d3,Queen's Pawn Game: Accelerated London System,3,c1f4,0.18299051,0.393998,0.002312
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 g8f6 f1d3,Queen's Pawn Game: Accelerated London System,4,b8c6,0.2472211,0.0,0.0
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 g8f6 f1d3,Queen's Pawn Game: Accelerated London System,5,e2e3,0.59506511,0.434801,0.003057
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 g8f6 f1d3,Queen's Pawn Game: Accelerated London System,6,c8f5,0.30120088,0.589444,0.017175
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 g8f6 f1d3,Queen's Pawn Game: Accelerated London System,7,c2c3,0.20399977,0.0,0.0
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 g8f6 f1d3,Queen's Pawn Game: Accelerated London System,8,g8f6,0.31906381,0.111756,0.001716
d2d4 d7d5 c1f4 b8c6 e2e3 c8f5 c2c3 g8f6 f1d3,Queen's Pawn Game: Accelerated London System,9,f1d3,0.30086861,0.046932,0.000277
