network,step,nll,n
48x5,0,4.016693,60942
48x5,10,4.279268,60102
48x5,20,4.359266,59822
48x5,30,4.363681,59860
48x5,40,4.314744,59973
48x5,50,4.299037,60035
48x5,60,4.296708,60012
48x5,70,4.298722,59999
48x5,80,4.337584,59895
48x5,90,4.315855,59994
48x5,100,4.349402,59867
48x5,110,4.323768,59950
48x5,120,4.309554,59988
48x5,130,4.319099,59961
48x5,140,4.345886,59896
48x5,150,4.316706,59971
48x5,160,4.311276,60002
48x5,170,4.334926,59886
48x5,180,4.38883,59651
48x5,190,4.373124,59757
48x5,200,4.303806,60045
48x5,210,4.351008,59869
48x5,220,4.341536,59871
48x5,230,4.285817,60064
48x5,240,4.313475,59953
48x5,250,4.289207,60048
48x5,260,4.271945,60166
48x5,270,4.330662,59901
48x5,280,4.324333,59939
48x5,290,4.314714,59961
48x5,300,4.325407,59933
48x5,310,4.277817,60160
128x10,0,4.007053,61220
128x10,10,3.360911,61220
128x10,20,3.373084,61220
128x10,30,3.377892,61220
128x10,40,3.379013,61220
128x10,50,3.377117,61220
128x10,60,3.379364,61220
128x10,70,3.379392,61220
128x10,80,3.377871,61220
128x10,90,3.378138,61220
128x10,100,3.377322,61220
128x10,110,3.377149,61220
128x10,120,3.377559,61220
128x10,130,3.378631,61220
128x10,140,3.380045,61220
128x10,150,3.376945,61220
128x10,160,3.37564,61220
128x10,170,3.378367,61220
128x10,180,3.375835,61220
128x10,190,3.378221,61220
128x10,200,3.375077,61220
128x10,210,3.37686,61220
128x10,220,3.379069,61220
128x10,230,3.377145,61220
128x10,240,3.376575,61220
128x10,250,3.379254,61220
128x10,260,3.379024,61220
128x10,270,3.376175,61220
128x10,280,3.379026,61220
128x10,290,3.377215,61220
128x10,300,3.37833,61220
128x10,310,3.379813,61220
192x16,0,4.683233,60595
192x16,10,5.024898,58799
192x16,20,5.073206,58271
192x16,30,5.026658,58200
192x16,40,5.068036,57997
192x16,50,5.043587,58175
192x16,60,5.04124,58216
192x16,70,5.066928,57956
192x16,80,4.983841,58371
192x16,90,5.049894,58404
192x16,100,5.078415,58142
192x16,110,4.960578,58681
192x16,120,5.030658,58375
192x16,130,4.975067,58470
192x16,140,5.011859,58348
192x16,150,5.073118,58281
192x16,160,5.077539,58357
192x16,170,5.055313,58112
192x16,180,5.015783,58438
192x16,190,5.071648,58370
192x16,200,4.953727,58581
192x16,210,5.049192,58264
192x16,220,4.967504,58477
192x16,230,5.064852,58262
192x16,240,4.983292,58571
192x16,250,5.041924,58194
192x16,260,5.076646,58346
192x16,270,5.045679,58369
192x16,280,4.964971,58509
192x16,290,5.043191,58184
192x16,300,5.040788,58126
192x16,310,5.0442,58020
256x20,0,4.045003,61128
256x20,10,3.791963,61220
256x20,20,3.876535,61218
256x20,30,3.887305,61218
256x20,40,3.885255,61219
256x20,50,3.889696,61218
256x20,60,3.897037,61218
256x20,70,3.889098,61218
256x20,80,3.895158,61218
256x20,90,3.890881,61218
256x20,100,3.90558,61218
256x20,110,3.911375,61218
256x20,120,3.890002,61218
256x20,130,3.878152,61218
256x20,140,3.89851,61218
256x20,150,3.88389,61219
256x20,160,3.88753,61218
256x20,170,3.886422,61219
256x20,180,3.8832,61218
256x20,190,3.891765,61218
256x20,200,3.886676,61218
256x20,210,3.910543,61218
256x20,220,3.897692,61218
256x20,230,3.899171,61218
256x20,240,3.894068,61218
256x20,250,3.893349,61218
256x20,260,3.89623,61218
256x20,270,3.893319,61218
256x20,280,3.898299,61218
256x20,290,3.896495,61218
256x20,300,3.898211,61218
256x20,310,3.892199,61218
768x15,0,4.514284,61220
768x15,10,3.475053,61220
768x15,20,3.475052,61220
768x15,30,3.475052,61220
768x15,40,3.475052,61220
768x15,50,3.475052,61220
768x15,60,3.475052,61220
768x15,70,3.475051,61220
768x15,80,3.475051,61220
768x15,90,3.475051,61220
768x15,100,3.47504,61220
768x15,110,3.475038,61220
768x15,120,3.475032,61220
768x15,130,3.475027,61220
768x15,140,3.475025,61220
768x15,150,3.475023,61220
768x15,160,3.475021,61220
768x15,170,3.47502,61220
768x15,180,3.475013,61220
768x15,190,3.475013,61220
768x15,200,3.475011,61220
768x15,210,3.47501,61220
768x15,220,3.475009,61220
768x15,230,3.475005,61220
768x15,240,3.475005,61220
768x15,250,3.475004,61220
768x15,260,3.475003,61220
768x15,270,3.475001,61220
768x15,280,3.474997,61220
768x15,290,3.474993,61220
768x15,300,3.474991,61220
768x15,310,3.474988,61220
human,0,1.705993,50907
