network,step,nll,n
128x10,0,4.311738096047456,62542
128x10,10,3.6892867685555304,62542
128x10,20,3.7042134572607206,62542
128x10,30,3.7066606901762014,62542
128x10,40,3.7038544059671903,62542
128x10,50,3.705016124860095,62542
128x10,60,3.7047708204246748,62542
128x10,70,3.7038367847526463,62542
128x10,80,3.7047474391129165,62542
128x10,90,3.705346875795465,62542
128x10,100,3.706785181797832,62542
128x10,110,3.7037230483195294,62542
128x10,120,3.7053390313069614,62542
128x10,130,3.707316951776406,62542
128x10,140,3.7059638196092224,62542
128x10,150,3.707604385357041,62542
128x10,160,3.706028774071824,62542
128x10,170,3.7067385398452246,62542
128x10,180,3.704605974129385,62542
128x10,190,3.705717031051134,62542
128x10,200,3.70294228360142,62542
128x10,210,3.7048082076524573,62542
128x10,220,3.703305155447539,62542
128x10,230,3.7082128434172237,62542
128x10,240,3.7038785643247736,62542
128x10,250,3.702742119695565,62542
128x10,260,3.7030040478558406,62542
128x10,270,3.707014182773176,62542
128x10,280,3.705639472706341,62542
128x10,290,3.7067365002238493,62542
128x10,300,3.704986953247418,62542
128x10,310,3.704908769722746,62542
192x16,0,5.1109318442966325,62542
192x16,10,5.760103862524384,62542
192x16,20,5.85448159489623,62542
192x16,30,5.942472421380831,62542
192x16,40,5.944038341450546,62542
192x16,50,5.922258131863387,62542
192x16,60,5.9662406419366185,62542
192x16,70,5.996650329890314,62542
192x16,80,5.93047520309552,62542
192x16,90,5.873237574941641,62542
192x16,100,5.823259527309649,62542
192x16,110,5.947465552684596,62542
192x16,120,6.015807733171308,62542
192x16,130,5.92995963115986,62542
192x16,140,5.955402068881711,62542
192x16,150,5.949875728870199,62542
192x16,160,5.889340252182534,62542
192x16,170,5.96697917968725,62542
192x16,180,6.010027828563206,62542
192x16,190,5.961557191439352,62542
192x16,200,5.950737466054812,62542
192x16,210,5.943967823494613,62542
192x16,220,5.906275972450513,62542
192x16,230,5.969847360541715,62542
192x16,240,5.916436727287263,62542
192x16,250,5.9436647122413735,62542
192x16,260,5.935985480173324,62542
192x16,270,5.900084618160597,62542
192x16,280,5.913970949234114,62542
192x16,290,5.953704693725817,62542
192x16,300,5.976209240142624,62542
192x16,310,5.894580789437499,62542
256x20,0,4.370057275095135,62542
256x20,10,4.092753488711585,62542
256x20,20,4.177251277557481,62542
256x20,30,4.1639940752294455,62542
256x20,40,4.1850064725944165,62542
256x20,50,4.185909842489847,62542
256x20,60,4.189570004812765,62542
256x20,70,4.195693103498448,62542
256x20,80,4.190612332144799,62542
256x20,90,4.201291262239775,62542
256x20,100,4.212251133286432,62542
256x20,110,4.207520963672412,62542
256x20,120,4.203104885053244,62542
256x20,130,4.196328280211698,62542
256x20,140,4.205579326116849,62542
256x20,150,4.191521229877522,62542
256x20,160,4.200361952096192,62542
256x20,170,4.1867998505324415,62542
256x20,180,4.1906484862172615,62542
256x20,190,4.182242341594448,62542
256x20,200,4.196150397444916,62542
256x20,210,4.20489585465767,62542
256x20,220,4.196842701176809,62542
256x20,230,4.213724826724441,62542
256x20,240,4.188442553787854,62542
256x20,250,4.177770959803012,62542
256x20,260,4.19461991218701,62542
256x20,270,4.187059269818682,62542
256x20,280,4.204873721834928,62542
256x20,290,4.197487079594512,62542
256x20,300,4.216339772201081,62542
256x20,310,4.218538200793067,62542
48x5,0,4.385187119024016,62542
48x5,10,4.792449288925842,62542
48x5,20,4.791511157478174,62542
48x5,30,4.796964118528348,62542
48x5,40,4.813528568386045,62542
48x5,50,4.879159232052061,62542
48x5,60,4.827281144350996,62542
48x5,70,4.879038305218893,62542
48x5,80,4.842761268667456,62542
48x5,90,4.82696097465703,62542
48x5,100,4.751105474720988,62542
48x5,110,4.787524297831856,62542
48x5,120,4.785670998736848,62542
48x5,130,4.922122108551054,62542
48x5,140,4.879399035688018,62542
48x5,150,4.814449444501294,62542
48x5,160,4.796482334463242,62542
48x5,170,4.7801132080362,62542
48x5,180,4.816773514854018,62542
48x5,190,4.877912309152249,62542
48x5,200,4.81820689307985,62542
48x5,210,4.780960317370727,62542
48x5,220,4.8013648515077865,62542
48x5,230,4.855405275990534,62542
48x5,240,4.794711256387708,62542
48x5,250,4.834163488711587,62542
48x5,260,4.8658696876499,62542
48x5,270,4.877570632886701,62542
48x5,280,4.915494133766109,62542
48x5,290,4.894105438505325,62542
48x5,300,4.812675888027247,62542
48x5,310,4.8384642196444,62542
768x15,0,4.808237186466694,62542
768x15,10,3.7909694817242814,62542
768x15,20,3.7909696144830676,62542
768x15,30,3.7909696768891306,62542
768x15,40,3.7909697483611016,62542
768x15,50,3.790964678152281,62542
768x15,60,3.7909536928943752,62542
768x15,70,3.7909478504365066,62542
768x15,80,3.7909403890505575,62542
768x15,90,3.7909386100060756,62542
768x15,100,3.7909342710978224,62542
768x15,110,3.7909282657414214,62542
768x15,120,3.7909232678999714,62542
768x15,130,3.790914973074094,62542
768x15,140,3.790911285807937,62542
768x15,150,3.7909010407885897,62542
768x15,160,3.790897577739759,62542
768x15,170,3.7908900444980973,62542
768x15,180,3.7908875322503275,62542
768x15,190,3.7908847025039174,62542
768x15,200,3.7908785850468485,62542
768x15,210,3.790876206341338,62542
768x15,220,3.7908705066515296,62542
768x15,230,3.79086352748553,62542
768x15,240,3.790861165920501,62542
768x15,250,3.7908533694956987,62542
768x15,260,3.7908497701064885,62542
768x15,270,3.7908426106296567,62542
768x15,280,3.790836697595216,62542
768x15,290,3.7908342350740303,62542
768x15,300,3.790830777221707,62542
768x15,310,3.7908302508714145,62542
